1.0,[3.27642607]
3.25,[3.18076084]
5.5,[3.12421273]
7.75,[3.08095655]
10.0,[3.0448322]
12.25,[3.01327364]
14.5,[2.98493829]
16.75,[2.95902559]
19.0,[2.93501531]
21.25,[2.9125481]
23.5,[2.89136404]
25.75,[2.87126835]
28.0,[2.85211074]
30.25,[2.83377256]
32.5,[2.81615823]
34.75,[2.7991895]
37.0,[2.78280136]
39.25,[2.76693913]
41.5,[2.75155632]
43.75,[2.736613]
46.0,[2.72207462]
48.25,[2.70791101]
50.5,[2.69409567]
52.75,[2.68060516]
55.0,[2.66741865]
57.25,[2.65451749]
59.5,[2.64188497]
61.75,[2.62950598]
64.0,[2.61736684]
66.25,[2.60545512]
68.5,[2.59375946]
70.75,[2.58226947]
73.0,[2.5709756]
75.25,[2.55986908]
77.5,[2.54894178]
79.75,[2.53818618]
82.0,[2.52759532]
84.25,[2.5171627]
86.5,[2.50688228]
88.75,[2.49674841]
91.0,[2.48675581]
93.25,[2.47689952]
95.5,[2.4671749]
97.75,[2.45757756]
100.0,[2.44810339]
