1.0,[0.71803776]
3.25,[0.70910777]
5.5,[0.70427103]
7.75,[0.70076375]
10.0,[0.69794977]
12.25,[0.69556971]
14.5,[0.69349007]
16.75,[0.69163232]
19.0,[0.68994603]
21.25,[0.68839675]
23.5,[0.68695978]
25.75,[0.68561681]
28.0,[0.6843538]
30.25,[0.68315977]
32.5,[0.68202595]
34.75,[0.68094519]
37.0,[0.6799116]
39.25,[0.67892028]
41.5,[0.67796705]
43.75,[0.67704839]
46.0,[0.67616124]
48.25,[0.67530296]
50.5,[0.67447123]
52.75,[0.67366403]
55.0,[0.67287956]
57.25,[0.67211622]
59.5,[0.67137259]
61.75,[0.6706474]
64.0,[0.66993948]
66.25,[0.6692478]
68.5,[0.66857141]
70.75,[0.66790945]
73.0,[0.66726113]
75.25,[0.66662573]
77.5,[0.6660026]
79.75,[0.66539111]
82.0,[0.66479072]
84.25,[0.66420089]
86.5,[0.66362114]
88.75,[0.66305102]
91.0,[0.66249013]
93.25,[0.66193806]
95.5,[0.66139445]
97.75,[0.66085896]
100.0,[0.66033128]
