T [K],vel [m/s],dist [m],X_AR,X_N2,X_H,X_H2,X_HE,X_O,X_OH,X_H2O,X_HO2,X_H2O2,X_O2,X_OH*,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_N2H2,X_N2H3,X_N2H4,X_H2NN,X_NO,X_N2O,X_NO2,X_HNO,X_HON,X_HONO,X_H2NO,X_HNOH,X_NH2OH,X_HNO2,X_HONO2,X_NO3,X_HNO3,X_CO,X_CO2,X_CH4,X_C2H6,tau [ms]
551.2216387611246,0.17894171486905247,0.0,-6.214956859674336e-19,0.5888491353607659,-3.924823795143407e-16,-4.068555195633915e-15,-2.215389316477597e-18,-1.7769520785244635e-16,-9.754906815626603e-19,2.434027059098031e-15,-1.6693904066538741e-18,-1.0455416884555718e-15,0.15652951699463388,4.0134420389308843e-16,5.257424333744308e-16,-1.0469198956624649e-18,-5.827367490469547e-17,0.2546213476446044,-6.261082364609362e-19,-1.1995793095776082e-16,-1.159963933684798e-18,-6.556670278113176e-16,-1.898750503955634e-15,-9.206443480868884e-16,1.2209794563315465e-16,-4.326036148588411e-18,-6.374282002137154e-19,-6.374996288034525e-19,4.088598075786655e-16,-1.6865783961493873e-16,4.9865982992216855e-16,1.0695199921760342e-15,-4.891107140812395e-19,-4.982959014144383e-17,8.479877434975055e-17,-2.7204118039377187e-19,-6.34308747412843e-19,-4.990493480014916e-19,-6.885172722553668e-19,-4.661509530362551e-19,-69.48310204174516
551.2216387611912,0.1789417148690728,0.015,3.2635300453054916e-19,0.58884913536077,-9.070905752464548e-23,-4.47386427252668e-15,1.0528199329502768e-18,1.3523247450920341e-20,3.361741565148268e-22,3.196610035816331e-15,-3.64027713508917e-16,-1.0457413076719284e-15,0.1565295169946367,1.6225852806099633e-24,1.3459734553642553e-20,1.688113954624691e-22,-1.5455255642243937e-14,0.2546213476446054,1.49761938803082e-27,-1.2892857422183005e-16,-3.2445775957645098e-16,7.106896289337686e-15,-1.02916032088943e-19,-3.8399573629104794e-16,1.2285149692621573e-16,-1.9014161329930345e-15,3.209520860327874e-20,8.87212581528196e-24,4.097153184986917e-16,-1.0751762837657668e-16,4.383591628372344e-16,1.0705691828107214e-15,9.486163355596484e-20,-4.911490476729525e-17,1.9896732585920533e-20,8.570480345697133e-17,3.332802637792678e-19,2.6120432656564654e-19,3.621759413121043e-19,2.437850408107722e-19,-49.676380212599895
551.2216387603909,0.17894171486882934,0.03,2.23005800724392e-18,0.5888491353607153,3.562378169731349e-24,1.3112242626329202e-15,7.213268500638154e-18,3.7070196906090574e-22,-2.70478722813789e-23,3.138602677556516e-15,-3.2008171710280627e-16,-1.0449977377043623e-15,0.15652951699462228,1.2003886466601799e-26,8.00513678712018e-23,-1.73135439580647e-21,1.6279910691489134e-13,0.25462134764457633,3.730922164697321e-27,-1.9014885896860103e-16,5.367968301706726e-15,-8.429094524078689e-14,1.1931738036119696e-22,-4.548072009436535e-16,1.2436602843925828e-16,-1.8958623155370127e-15,1.901038669266996e-20,5.1437514774710754e-23,4.1231147303014063e-16,-4.7374977214445354e-17,3.8626376246379834e-16,1.0725725850180106e-15,4.564024170165796e-19,-4.767453667814845e-17,2.8919481465921796e-22,8.816058532836514e-17,2.275561942994939e-18,1.796168693322426e-18,2.466393156800286e-18,1.6791809342622647e-18,-29.869658383454638
551.221638759739,0.1789417148686375,0.0375,-4.4991777210801855e-18,0.5888491353606483,-2.4841169589162335e-23,4.532973947749532e-14,-1.5140092155671564e-17,-1.4222775251782372e-21,-1.084175233784468e-22,3.010824286434619e-15,-3.6947441671037603e-16,-1.0526101658397122e-15,0.1565295169946046,-8.493156392204468e-26,-5.639963999791423e-22,-3.433589524083424e-21,3.066860562461618e-13,0.2546213476445421,-1.780276231405501e-26,-2.479099406688625e-16,1.0614807168675469e-14,-1.58487416497826e-13,-6.360324981631061e-22,-5.560060301695939e-16,1.1899142537979644e-16,-1.913221853228326e-15,-6.112515471036346e-19,-3.639239683606458e-22,4.0417629363703144e-16,-2.5263971371403277e-17,3.5463477317127245e-16,1.065811267570247e-15,-2.0426508088891596e-18,-5.273505445529719e-17,-2.0127165047570954e-21,7.955532575412625e-17,-4.5915552921710774e-18,-3.6182378561037294e-18,-4.980201089583968e-18,-3.3811545167337478e-18,-19.96629746888201
551.2216387593331,0.17894171486866134,0.041249999999999995,-2.411109864977899e-19,0.5888491353600993,3.1617034105857196e-23,9.449369679293036e-13,-1.0678666029035716e-18,2.493476712783423e-21,-1.8086127423606075e-24,3.014690377286132e-15,-3.2450711600223032e-16,-1.0486061099807903e-15,0.15652951699445664,1.0774865527628222e-25,7.154177127107946e-22,-3.006237765071271e-21,3.964771986776408e-13,0.2546213476442926,2.5019222223788933e-26,-2.748978414159797e-16,1.3992766891806704e-14,-2.047413450765165e-13,1.0756144419145505e-21,-5.753697341358143e-16,1.223837456953353e-16,-1.900918596834829e-15,4.096975476765016e-19,4.616338323572444e-22,4.0803398876685447e-16,-6.0730062892908224e-18,3.4684044267430424e-16,1.0701308174714858e-15,8.015944993385862e-19,-4.952941606894446e-17,2.550550831822517e-21,8.499554884991103e-17,-2.4635404629568953e-19,-1.913867429364115e-19,-2.6887042969266313e-19,-1.7822935049390162e-19,-15.014617011595705
551.2216387588239,0.17894171487302568,0.045,-2.7502467540809093e-18,0.5888491353440813,-1.6263519004204555e-23,2.8425081250260696e-11,-1.1008514989187476e-17,-6.5763671482296525e-22,-1.2114513784305468e-22,2.9713672047451326e-15,-3.409653886256059e-16,-1.0515619579722034e-15,0.15652951699013595,-5.596226299107447e-26,-3.715406516213985e-22,-4.907222755257401e-21,5.086795939658184e-13,0.25462134763709293,-1.1350861880614266e-26,-3.157128266163962e-16,1.829049840063511e-14,-2.6269440835207675e-13,-2.1573228350043994e-22,-6.394514779691057e-16,1.2042241865935833e-16,-1.906373138216099e-15,-4.2178398927443678e-19,-2.397412426286458e-22,4.055960500943085e-16,6.5330364050407804e-18,3.326620381815807e-16,1.067610368557975e-15,-6.33620367047163e-19,-5.13626905755168e-17,-1.3235085114069781e-21,8.192373500257711e-17,-2.8126948558454924e-18,-2.1655153716662435e-18,-3.0778221625559834e-18,-2.0116493772906272e-18,-10.062936554309385
551.221638758542,0.17894171492544325,0.046875,-1.575133335221816e-17,0.5888491351583808,-2.173239034227515e-22,3.476155479729649e-10,-4.3719000779624096e-17,-1.4318903613143978e-20,-5.610275737216828e-22,3.8731758759758725e-15,-4.547871403810242e-16,-1.0648439397636575e-15,0.15652951694004252,-7.460352022512839e-25,-4.952932507692546e-21,-9.547140712550277e-21,5.710925262912374e-13,0.254621347553663,-1.6468635625998574e-25,-3.498802630330839e-16,2.0671371164125008e-14,-2.950228068523298e-13,-6.0392273632076186e-21,-7.337696885382124e-16,1.0979793734673234e-16,-1.941311591537885e-15,-3.7695992716221924e-18,-3.196062960494956e-21,3.923577686138507e-16,9.119601712097172e-19,3.1397725700127935e-16,1.0545031338400531e-15,-8.430967052670073e-18,-6.144193612070036e-17,-1.765247105031349e-20,6.456998924143963e-17,-1.604730279992974e-17,-1.287712217314166e-17,-1.728050116950218e-17,-1.2086983577330089e-17,-7.5870963256662245
551.2216387584548,0.17894171524350877,0.0478125,1.6827175371192278e-17,0.5888491340334346,1.0448715583060337e-21,2.281403617747758e-09,5.067047619021385e-17,7.081449796034246e-20,2.1022475250564965e-21,2.311247533972732e-14,-1.6237859603948647e-16,-1.0271024609801918e-15,0.15652951663658315,3.536921787307951e-24,2.3473791896530524e-20,1.5720135941814542e-20,6.044853482937258e-13,0.2546213470482426,7.870020957318233e-25,-3.279292954699338e-16,2.1900947960635506e-14,-3.1194763312732123e-13,3.056977809186359e-20,-5.823890381701594e-16,1.3629017050409564e-16,-1.85165044059482e-15,1.215578065251348e-17,1.5147798353667136e-20,4.2081779903993646e-16,4.006396351258512e-17,3.440809970688411e-16,1.0874515707809722e-15,1.5180007640454992e-17,-3.654015270746083e-17,8.34612579188153e-20,1.071001695011187e-16,1.715568157264757e-17,1.3664199522201252e-17,1.852943034689904e-17,1.280269018017664e-17,-6.349176211344648
551.2216387597831,0.17894171791949176,0.04875,-2.4562621640482008e-17,0.5888491245713915,-1.247350471085081e-21,1.85470664403089e-08,-6.851111860903108e-17,-8.891182299700238e-20,-2.9131301629508536e-21,4.828350760186784e-13,-4.776688018295884e-16,-9.425448914433347e-16,0.15652951408418544,-4.506627644404823e-24,-2.9901003152720987e-20,-3.251196780925222e-20,6.394342263215202e-13,0.25462134279654397,-1.0002901933246819e-24,-3.6744276069365753e-16,2.2627903407204543e-14,-3.2996143047366147e-13,-3.8042868425109904e-20,-5.543777957350685e-16,1.0895727762450864e-16,-1.9557922943020776e-15,-1.285770500053e-17,-1.929597458645448e-20,3.8582531728384995e-16,5.775926199847346e-17,2.995914948813878e-16,1.047183149210927e-15,-1.5481114239510706e-17,-6.820562081377278e-17,-1.0611070417496658e-19,5.305203656688522e-17,-2.5024297802965402e-17,-2.0080511397433088e-17,-2.6948057904487475e-17,-1.8848592269776326e-17,-5.111256097023064
551.2216387975851,0.17894174043632335,0.0496875,3.315605924107595e-17,0.5888490449863047,2.5110704308067586e-21,1.553628953300875e-07,9.457592783498708e-17,1.2654656546592552e-19,3.836724335557877e-21,1.1664236952122253e-11,7.990603444340657e-16,2.6740614858560072e-15,0.15652949261662366,6.342193314562697e-24,4.207787589152731e-20,3.177266527575785e-20,6.818672635780743e-13,0.25462130702214636,1.4105165128309186e-24,5.88575346889891e-17,2.0195970426338994e-14,-3.488953650889811e-13,5.450650034337006e-20,6.472869782468905e-15,3.7479602843767007e-16,-1.5266546091629028e-15,2.3554265263093282e-17,2.715474765754028e-20,4.559328477392822e-16,1.696397107817189e-15,3.603019629438886e-16,1.1482889435116685e-15,2.6434550261535708e-17,-2.3947054790201243e-17,1.4932895524806163e-19,1.2864361965928054e-16,3.378738799994528e-17,2.704438509756384e-17,3.6420788297190015e-17,2.536963236498935e-17,-3.873335982701481
