0, 11.32
1, 9.15
2, 7.13
3, 17.98
4, 8.22
5, 8.22
6, 8.84
7, 11.32
8, 10.7
9, 11.01
10, 9.77
11, 8.53
12, 10.7
13, 10.7
14, 11.01
