T [K],vel [m/s],dist [m],X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_NO2,X_HNO,X_HNO2,X_HONO,X_HONO2,X_N2H2,X_H2NN,X_NH2OH,X_HNOH,X_NH3,X_N2H4,X_N,X_NO3,X_NH,X_NNH,X_NH2,X_H2NO,X_N2H3,tau [ms]
550.8789639726715,0.27655555270476284,0.0,4.791832701885568e-20,0.5888491353607593,-1.8394260193017105e-17,-3.456175969282886e-14,2.7777700972507084e-14,0.15652951699465228,-6.486733626216161e-14,1.861890670639382e-14,7.500863218072698e-20,-1.5673763713394926e-15,-3.572251770115009e-17,1.408264901576695e-17,-6.57938982685938e-17,1.8729359483418648e-17,8.693673929012326e-16,-1.7756044950108535e-16,-4.3311566177045953e-16,-5.233598719678881e-16,2.9000578272776734e-16,1.557550216864596e-14,1.0974259173131407e-15,-4.7860018194331473e-14,0.25462134764461325,1.9210176184248134e-14,6.809974329926838e-20,3.807953523592843e-20,8.637531214931898e-15,4.8174361358057575e-20,-2.220546407005882e-16,2.6437889914256348e-14,6.9423247005576666e-15,-479.476629196083
550.878963973,0.2765555527049162,0.16000000000000003,2.7857289558053044e-19,0.5888491353607748,-1.7604999053398707e-17,-3.454176645510749e-14,1.6681053560551e-20,0.15652951699462803,-4.1897773027438263e-17,-3.76268329773844e-14,-4.0415471103297014e-20,2.6455407882236785e-14,-2.39321365760579e-14,9.81164096963668e-15,-6.571706315935207e-17,1.5575950818881593e-14,2.7820020893468075e-17,-1.7734797703709692e-16,-4.319517249564603e-16,-5.229939704512374e-16,2.898076484444416e-16,1.226047095503067e-18,1.0807283159827302e-15,-3.89005498576601e-14,0.2546213476447384,1.8792550494368296e-14,1.534746711060667e-23,9.606380615804141e-21,2.2120529679055933e-18,1.0288060530292267e-27,-1.0109690303401714e-13,1.714674924982147e-14,6.958973299507236e-15,-342.645564388227
550.8789639697085,0.27655555270337506,0.32000000000000006,3.3809170965517125e-19,0.5888491353605282,-1.7451190882998047e-17,-3.6566391659065754e-14,-9.183805200419927e-25,0.15652951699461312,-1.755130670735605e-20,-3.811636565647443e-14,-3.5345562534110994e-22,7.590628694994211e-14,-1.2141504268257105e-13,9.617254016291926e-15,-6.580196682540872e-17,1.3510665116930292e-14,5.023935529493887e-18,-1.7729935986828452e-16,-4.3106889829192856e-16,-5.227628958072102e-16,2.891475091490837e-16,-1.623157578990328e-19,1.0667765865490682e-15,-3.162391999584132e-14,0.2546213476446306,-4.020746141217624e-13,3.775388583932412e-24,2.860071467041037e-21,-1.177439299090272e-19,6.870807124665515e-28,7.418041061026166e-13,9.62830236384422e-15,6.989138264216257e-15,-205.81449958037106
550.8789639709174,0.27655555270394433,0.4,-1.376301581481363e-18,0.5888491353606043,-2.3184707387958016e-17,-3.590693597516525e-14,-1.4442611981457262e-23,0.15652951699466147,7.141873190921648e-21,-3.799436184638849e-14,1.6919128727664985e-22,1.0481091696013804e-13,-1.7919022073626984e-13,9.816547504291436e-15,-6.718563674941856e-17,1.4124264439432055e-14,3.111520899765208e-18,-1.7880805630964858e-16,-4.3214307059665124e-16,-5.240340310904023e-16,2.8724035839693115e-16,9.582839190347252e-20,1.0587224307545523e-15,-2.8359415515353546e-14,0.25462134764466365,-2.7343072966562303e-13,-1.9243952338157334e-22,-1.1316773799254262e-19,7.054864613272651e-20,-4.922985107474884e-27,4.834118033120275e-13,6.290488494691639e-15,6.9959080679768456e-15,-137.3989671764431
550.8789639716742,0.27655555270430143,0.44,3.993788286638686e-19,0.5888491353606518,-1.740851267784973e-17,-3.4036333808818244e-14,3.155729581543772e-23,0.15652951699468906,2.58023134634703e-20,-3.7894877428051846e-14,2.725492066414908e-22,1.2016682823654808e-13,-2.1003041239723056e-13,9.938859014851588e-15,-6.576852218540984e-17,1.4522736874457423e-14,2.4635382904956683e-18,-1.7723986560153225e-16,-4.3035164961117946e-16,-5.225734966575692e-16,2.8895044885257293e-16,1.243031125177753e-19,1.057520538753874e-15,-2.6813043416413424e-14,0.25462134764468436,-1.9149604426055964e-13,4.0267855923731214e-22,2.0201519790244393e-19,9.506782713184566e-20,1.1068346014413127e-26,3.19052559960195e-13,4.725452692419635e-15,6.999773353036437e-15,-103.19120097447914
550.8789639722844,0.2765555527046086,0.48,-5.206550531752254e-18,0.5888491353606464,-3.5934479987185195e-17,3.9541659880363474e-14,-9.390121818303717e-23,0.1565295169947036,-3.658889468761055e-20,-3.786914298585536e-14,8.812018477455256e-23,1.362675262804488e-13,-2.4261758018420666e-13,9.99070737828274e-15,-7.024116782775776e-17,1.482033853901463e-14,1.0346313031750485e-18,-1.8217985954586792e-16,-4.3506394982652134e-16,-5.269884662508665e-16,2.8331240547754244e-16,9.494408738581672e-20,1.049018968190653e-15,-2.5357507395880644e-14,0.25462134764468175,-1.2764918325654344e-13,-1.2556151427284958e-21,-6.525527182261419e-19,6.144558819753328e-20,-3.393189645139809e-26,1.9071118542181035e-13,3.2466049437320826e-15,6.996077046002429e-15,-68.98343477251517
550.8789639725377,0.27655555270508053,0.5,-1.6223449411388144e-18,0.5888491353598578,-2.4605658815573415e-17,1.4208906609956341e-12,1.2550183907791527e-22,0.15652951699449907,6.373358705233085e-20,-3.7815799952525e-14,2.816028154871634e-22,1.4449581496193305e-13,-2.592407103883544e-13,1.0042564748685907e-14,-6.736744961655047e-17,1.4950393059567213e-14,1.5754635219152026e-18,-1.7901076489625454e-16,-4.317799901948537e-16,-5.24100512225025e-16,2.868741736359808e-16,7.987166951269666e-20,1.0512587195158367e-15,-2.4643740620758286e-14,0.2546213476443274,-1.020944833905805e-13,1.6442526449886067e-21,5.964294209103577e-19,7.046683662321474e-20,4.4608865762261474e-26,1.393674974927974e-13,2.536495603421213e-15,6.999474770523431e-15,-51.879551671533186
550.8789639726501,0.27655555270852983,0.51,-4.7654509947333025e-18,0.5888491353520923,-3.361938043412828e-17,1.478145524988938e-11,-2.271641366622125e-22,0.15652951699240847,-9.964705306507654e-20,-3.782533243300451e-14,-1.059404127529227e-22,1.4864528545580425e-13,-2.676874960180212e-13,1.0040803498127064e-14,-6.990555775016369e-17,1.499783370815889e-14,1.3950214784070627e-19,-1.8180071752292746e-16,-4.345123373945107e-16,-5.26620786857518e-16,2.8372835999418287e-16,6.303996884400471e-20,1.047404902061088e-15,-2.4296893530400868e-14,0.25462134764083877,-9.102360116154784e-14,-3.003961012457612e-21,-8.440914909609151e-19,2.591501302963726e-20,-8.140025100263218e-26,1.170625992166595e-13,2.182005687503023e-15,6.996866653727904e-15,-43.32761012104219
550.8789639727502,0.27655555275351673,0.52,3.401621605639818e-18,0.5888491352492651,-7.592584058670595e-18,1.9155111159105046e-10,5.675401628883958e-22,0.15652951696467438,2.6536012113138386e-19,-3.7691202815151e-14,7.027872959821167e-22,1.5284538802881152e-13,-2.7612384179174435e-13,1.009486269404338e-14,-6.336536741364808e-17,1.5058817407193644e-14,2.719160386772278e-18,-1.7458590336933832e-16,-4.272396484750988e-16,-5.200879870756178e-16,2.9187797661855985e-16,6.812888783459626e-20,1.0549832132230885e-15,-2.394362075916082e-14,0.2546213475946439,-8.156118240969828e-14,7.470156066688313e-21,2.4060819099914196e-18,1.0189552509778068e-19,2.0252884291817781e-25,9.811963943403723e-14,1.8446003658707304e-15,7.003946602774553e-15,-34.7756685705512
550.878963972844,0.2765555533481459,0.53,-1.2818080570474048e-18,0.588849133888716,-2.116598608332304e-17,2.5303484086987765e-09,-3.4147870189636853e-22,0.15652951659766307,-1.5240064620457462e-19,-3.51803971478931e-14,-2.6210944107172225e-22,1.5706778838741507e-13,-2.8475351523724367e-13,1.0083129973286503e-14,-6.714234277211697e-17,1.5087954767849533e-14,-2.6136882599611767e-19,-1.787483619074891e-16,-4.3134331301098645e-16,-5.238573912740839e-16,2.873116914669501e-16,4.15711467351172e-20,1.049597776201524e-15,-2.360819977766688e-14,0.254621346983417,-7.367135135191282e-14,-4.534733870467558e-21,-6.136197771844979e-19,-4.94722948999319e-22,-1.2302056857592316e-25,8.213693010136938e-14,1.4996148165458219e-15,6.99992303892816e-15,-26.22372702006015
