T [K],vel [m/s],dist [m],X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_OHV,X_H2O2,X_HO2,X_CO,X_CO2,X_HOCO,X_CH4,X_CH3,X_OCHO,X_C2H6,X_N,X_NO,X_NOV,X_NO2,X_N2O,X_NH3,X_HNO,X_HON,X_HONO,X_H2NO,X_NNH,X_NH2,X_NH,X_HNOH,X_NO3,X_HONO2,X_HNO3,X_N2H2,X_N2H3,X_N2H4,X_H2NN,X_NH2OH,X_HNO2,X_N2O4,X_N2O3,tau [ms]
551.483360349913,0.17517484037950234,0.0,9.087539134693455e-19,0.5888491353607623,3.161949322281526e-18,3.6380447229762075e-15,4.8499219519451694e-15,0.15652951699463127,3.2756289698885724e-14,4.031899107561885e-15,1.4480964732939665e-18,-2.3741290489188276e-14,-1.0491535750220245e-14,1.8685824177131235e-17,9.426795883840309e-19,7.410500970041343e-19,6.966549438690506e-19,1.0230697705961116e-18,1.0283783706647602e-18,6.966549297490276e-19,6.862897885772054e-19,-7.518084866670131e-15,6.947012485804439e-17,9.359887094128408e-19,-6.449735953120545e-18,2.7034959615234663e-16,0.2546213476446001,9.473730977733717e-19,9.469830031639896e-19,2.2658313729071353e-18,2.239683373687441e-16,9.300716884083812e-19,6.370614427888773e-15,1.5539083778211663e-18,-1.6384752652822093e-15,7.34859753457415e-19,2.0141944377996603e-15,-1.9118692650420554e-16,-7.334162218435375e-15,4.1431595065276175e-15,-2.9115814306418463e-19,-2.36835214661204e-15,-9.941321004593415e-17,1.1747691541594992e-15,4.805741750233374e-19,4.91337280389429e-19,-23.55564464476964
551.4833603496176,0.1751748403794079,0.005000000000000001,-2.473355335093935e-19,0.5888491353607627,-7.176228475735823e-19,7.393588945436605e-15,2.165121800050166e-22,0.15652951699463624,1.6161039505551693e-18,5.532995889769738e-15,9.205872126400635e-22,-1.163543932854268e-22,-1.0484532533549792e-14,5.0084258638113104e-15,-2.372044371274047e-19,-5.396717015293812e-19,-3.7741217578365653e-25,-2.568747266391229e-19,-2.58292663040132e-19,-5.791937700676776e-24,-1.7382036566770494e-19,-2.9160876866169043e-19,-7.461436823008978e-15,-2.3556072885331754e-19,-2.3781037663638492e-15,2.6943005179842883e-16,0.25462134764457334,1.0828101498115236e-19,-9.440772796835138e-24,5.867364540168566e-16,1.5541364779974112e-16,-1.0685437386445578e-27,3.1886554954128697e-14,-1.0785683269485572e-23,-1.5699037873085561e-15,-1.8600704195227705e-19,2.0131920079650153e-15,-1.9210564141056522e-16,-7.335325606100174e-15,4.141025994708206e-15,-2.549331972850539e-16,-1.8758001307162613e-19,-1.0107390358640984e-16,5.883606272353409e-16,5.7682293185031025e-27,-1.2511802304089181e-19,-16.848618787831995
551.4833603488509,0.17517484037922787,0.010000000000000002,1.6703950577117555e-18,0.5888491353605366,5.763339269385753e-18,3.018830491772563e-13,6.168794733864701e-25,0.15652951699457543,8.988662210328108e-22,5.5248970638931525e-15,-7.077590092708275e-24,1.4609002775865212e-26,-1.0474452822263444e-14,5.105233646486422e-15,1.7201433560395918e-18,3.893448627723382e-18,3.03024898584265e-24,1.866877009280831e-18,1.8766515897607638e-18,4.6503414412932285e-23,1.2520632181036117e-18,9.45916336891608e-23,-7.491377851669508e-15,1.707879360239823e-18,-2.3711559382395808e-15,2.7094386897536027e-16,0.25462134764447253,1.683628905241351e-18,7.579983248019859e-23,8.815786098431147e-16,1.0037764627478922e-16,8.627573724202508e-27,2.1848027887273967e-13,-1.3665025965208566e-21,-1.5013462952457033e-15,1.3407749388726515e-18,2.014631455210961e-15,-1.905824051553455e-16,-7.33376326271018e-15,4.141166212969127e-15,-9.370920112631857e-14,1.1234479445074303e-22,-9.960780796058905e-17,2.956804920210958e-16,2.1774859942085277e-26,8.96353485725368e-19,-10.141592930894356
551.4833603487244,0.175174840380589,0.0125,1.1750851566938454e-18,0.5888491353554743,4.4758211901128476e-18,8.988593575358354e-12,-3.743347050552023e-25,0.15652951699320983,3.099958101743042e-22,5.528711448870666e-15,2.826764339474709e-25,-8.548779845296684e-27,-1.0470895442418076e-14,5.1402197126616575e-15,1.215988727105917e-18,2.717693570953389e-18,-1.773129957735664e-24,1.3261043012758314e-18,1.3334455199270447e-18,-2.7207280302899437e-23,8.707316190911058e-19,-6.196499830479961e-23,-7.494182591882663e-15,1.2068255021643567e-18,-2.372724055461453e-15,2.7053130124616943e-16,0.2546213476421984,1.7786827803389706e-18,-4.4345780829709456e-23,9.790469228654035e-16,7.243898963311696e-17,-5.123324961295003e-27,2.4938094378870026e-13,-5.211608108296448e-22,-1.4689847700676062e-15,9.354101059092188e-19,2.0141850533319846e-15,-1.9098693404108197e-16,-7.334314954455152e-15,4.139442815289999e-15,-1.090093628451572e-13,-5.859541357845306e-23,-1.0033816567822105e-16,1.9721873112648537e-16,-8.164691736059771e-28,6.149823557352777e-19,-6.788080002425537
551.4833603485993,0.1751748404015338,0.01375,5.231480091251412e-18,0.5888491352796693,1.458940213758522e-17,1.3928213317858392e-10,6.125058614856426e-24,0.1565295169727609,4.1858699617126204e-21,5.734532593357169e-15,1.061176536282571e-22,1.4172632691785167e-25,-1.046469631042546e-14,5.202968568373798e-15,5.344958521314403e-18,1.2340564486242854e-17,2.939598785021976e-23,5.7552857092895874e-18,5.7825598767399595e-18,4.510742101147175e-22,3.9906855667163e-18,1.0273236681265433e-21,-7.478099435848963e-15,5.310354668282803e-18,-2.3570516097825706e-15,2.738467310114742e-16,0.2546213476081424,3.476941765663769e-18,7.35222441706795e-22,1.0221297878266552e-15,6.334954076561173e-17,8.3974956619123e-26,2.803327062684164e-13,-1.0034492362343577e-22,-1.4486022448950274e-15,4.2529700830892366e-18,2.0174746932806654e-15,-1.8767632582540737e-16,-7.330311909714283e-15,4.1421600417202416e-15,-1.2429348190051238e-13,1.517011831024359e-21,-9.635833207220892e-17,1.6065449779641514e-16,1.4534052209191683e-25,2.9135729407950736e-18,-5.111323538191128
551.4833603484013,0.175174840828078,0.015,-3.471192757231534e-17,0.5888491337385573,-9.905792523140986e-17,2.788452646560042e-09,-5.707115668544947e-23,0.15652951655703806,-3.2924365070277527e-20,1.5722296388645964e-14,-1.0334422992980008e-21,-1.3229813931731926e-24,-1.050310004197882e-14,4.808975636078982e-15,-3.535883030115744e-17,-8.140868776210775e-17,-2.744043473712872e-22,-3.8115253338906206e-17,-3.829945550967177e-17,-4.210627077610388e-21,-2.6306076306971538e-17,-9.589662499668238e-21,-7.680503683090195e-15,-3.512671754426515e-17,-2.507708461341134e-15,2.4156156359351626e-16,0.2546213469157707,-1.0522280604075996e-17,-6.863030314119239e-21,1.0145543056048016e-15,1.1348439295335822e-17,-7.845879110778324e-25,3.3483217574733743e-13,-9.535737004522393e-21,-1.4726322659663219e-15,-2.8054753265532e-17,1.985217229682237e-15,-2.1991303814824946e-16,-7.369723631620032e-15,4.1065930107743646e-15,-1.5173872715738399e-13,-1.3608294440786494e-20,-1.3672504407373085e-16,1.030312656433464e-16,-1.278966076771967e-24,-1.9153689464678492e-17,-3.434567073956719
551.4833603490553,0.17517484413431128,0.015625,4.24640325910996e-17,0.5888491217956661,1.2504895313659238e-16,2.3318605400101216e-08,2.2016927543204976e-22,0.15652951333539408,1.2922645630309212e-19,2.5822306982613723e-13,3.860857437756625e-21,5.059522051737019e-24,-1.0409267136536078e-14,5.6200281469599126e-15,4.3300447546617466e-17,9.940259831589952e-17,1.0494001342330186e-21,4.6727736561705615e-17,4.695683334192716e-17,1.609959129884176e-20,3.209906922493033e-17,3.666433717158616e-20,-7.171601618143452e-15,4.301221365360494e-17,-2.212188062508117e-15,3.0532764097647693e-16,0.2546213415498905,3.541953862136855e-17,2.6239936223283728e-20,1.0966429521413336e-15,1.2529039943661912e-16,3.0001171201161218e-24,3.6878841742467443e-13,2.795294496762008e-20,-1.38600905164236e-15,3.4256269093159327e-17,2.047380211939996e-15,-1.577352185611349e-16,-7.277079955042838e-15,4.1728127704130195e-15,-1.680551893753152e-13,5.236008399446877e-20,-5.691601203187293e-17,1.464992210437234e-16,4.927617978028114e-24,2.3306301423521025e-17,-2.5961888418395143
551.4833603587153,0.17517485777410968,0.0159375,-2.4352155281191242e-18,0.5888490725341177,-6.094195977094534e-18,1.0800219015783164e-07,-2.4481917748088255e-22,0.1565295000470803,-1.4674733126631578e-19,3.1332669750007213e-12,-4.491418212508943e-21,-5.820551527565114e-24,-1.0264843002499993e-14,5.297871756668864e-15,-2.469220296760719e-18,-5.590117911505742e-18,-1.2071949722890812e-21,-2.6727286718246372e-18,-2.6864234884534078e-18,-1.850899718333781e-20,-1.8045645800781264e-18,-4.214452311162092e-20,-5.294399194494516e-15,-2.452095461212165e-18,-2.321284572175926e-15,2.941197112061262e-16,0.2546213194132824,2.1918554948600836e-18,-3.016263304797898e-20,1.0740311734553735e-15,6.467284129380963e-16,-3.4515560476388314e-24,3.864481951525179e-13,-3.669338057849246e-20,-1.422288849575536e-15,-1.9322938245838497e-18,2.011273747913136e-15,-1.9376249853300673e-16,-7.102512153318873e-15,4.1350475660182495e-15,-1.7708962944332912e-13,-5.996423628206859e-20,-7.528014843401806e-17,1.0421129712961675e-16,-5.651542135554198e-24,-1.2898955998007697e-18,-2.17699972578091
551.4833605239376,0.17517493736979023,0.01625,8.100513747606183e-18,0.5888487851990255,3.7827128698255213e-17,6.019728141921347e-07,8.702343728941234e-23,0.15652942254101923,2.8011812718561706e-20,4.969363166968628e-11,7.962742471786269e-22,1.0785074051064339e-24,-6.725733162885208e-15,7.283385577710706e-15,8.314407928476578e-18,1.807145650968392e-17,2.2365073976838233e-22,9.163184879591843e-18,9.220938471241885e-18,3.421678667622405e-21,5.745004738972897e-18,7.787526539905346e-21,3.364050277151283e-14,8.24439778768905e-18,-9.960818912345293e-16,8.9301022659408e-16,0.25462119023717644,2.51213469762395e-16,5.573533950251134e-21,1.2782517985447588e-15,1.1312322880554441e-14,6.39911540643278e-25,4.0845071882274075e-13,3.990720136528323e-21,-1.3078262514877906e-15,6.213247054036054e-18,2.0195478615650202e-15,-1.837281387779617e-16,-2.9158837349197694e-15,4.171836605872619e-15,-1.8667120976417512e-13,1.1151512643092085e-20,4.4335404809634104e-16,1.056688224171359e-16,1.0564732928674636e-24,3.938518503915254e-18,-1.7578106097223059
551.4833633295133,0.1751754022207051,0.0165625,4.783362458903014e-17,0.588847109352011,1.5059375196416858e-16,3.483372304873614e-06,4.956031122665021e-22,0.15652897053312176,1.3686428459006341e-19,8.036046675260845e-10,4.091369360809819e-21,5.35591192573026e-24,5.888763574554099e-14,3.8912382875079693e-14,4.8797819463421056e-17,1.1151863105424026e-16,1.110887725412211e-21,5.27728042297293e-17,5.303923404013687e-17,1.7040454350629653e-20,3.597321082676668e-17,3.880297760636885e-20,7.61073598578577e-13,4.846459880215212e-17,2.665646502302764e-14,1.4885396030415308e-14,0.25462043593747447,7.126537313211934e-15,2.777155874648985e-20,5.845462032593422e-15,2.106054311924209e-13,3.1859584663883756e-24,4.600348652889427e-13,2.922784816571539e-20,6.053585549593511e-16,3.8365298165208065e-17,2.055280717511707e-15,-1.0638958886960072e-16,7.660376185342804e-14,4.829372051030902e-15,-1.9572731790131272e-13,5.542737739381411e-20,1.0042352456445129e-14,1.3080877019195503e-16,5.215618220675476e-24,2.6037086549830383e-17,-1.3386214936637053
