T [K],vel [m/s],dist [m],X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_NO2,X_HNO,X_HNO2,X_HONO,X_HONO2,X_N2H2,X_H2NN,X_NH2OH,X_HNOH,X_NH3,X_N2H4,X_N,X_NO3,X_NH,X_NNH,X_NH2,X_H2NO,X_N2H3,tau [ms]
550.8789639726715,0.24225672028820291,0.0,3.858261830970767e-19,0.5888491353607591,6.146283115023107e-18,2.2528594737625854e-14,-2.7903920614529212e-14,0.15652951699460738,4.297246138755551e-14,4.35683030292175e-15,6.048841960647792e-19,3.792997839239684e-16,-3.959623979206005e-17,-2.386853946922904e-17,-1.3357211737564832e-15,6.037955678493675e-17,-5.072882105436541e-16,-1.3926411886679013e-16,-9.238415033844634e-17,-3.799319820706745e-15,-3.6665810648372496e-16,4.566669481082578e-14,4.192752277522642e-15,-3.4814881010358707e-14,0.25462134764459715,-7.359235483291651e-14,5.485257723596341e-19,3.066626478299697e-19,-1.4745335394454182e-14,3.8806208290811195e-19,1.2050980843748565e-15,7.858027688084427e-15,6.428206492080976e-14,-547.2599282510005
550.8789639710386,0.2422567202875332,0.16000000000000003,-2.5561715798732773e-19,0.5888491353606409,3.9666118089349425e-18,2.023696655139998e-14,-1.4831293402939698e-20,0.15652951699457282,2.3836341474447708e-17,3.2437020149302786e-14,1.727694363678242e-20,-1.2787287944218267e-16,-2.4850818622646714e-14,-1.531091312065413e-14,-1.3358400807819793e-15,4.345911239721852e-14,-1.2189692101617124e-17,-1.398137746228935e-16,-8.983140303734216e-17,-3.7992589642197995e-15,-3.6719157384496886e-16,2.9738800399763096e-18,4.176860783568358e-15,-3.2678647742026754e-14,0.25462134764447225,-2.471465967172724e-13,-1.2390752778215281e-23,-7.905781066801784e-21,-3.4738779391136465e-18,-7.197025027596266e-28,4.694506294885657e-13,5.653449840727661e-15,6.42517148271605e-14,-391.1123425788819
550.8789639713909,0.2422567202876777,0.32000000000000006,7.758131303694431e-19,0.5888491353606677,7.434504610139584e-18,2.083932321927974e-14,3.830175586255141e-24,0.15652951699457576,2.369589702882047e-20,3.254951304950245e-14,7.232194740536173e-23,-5.533119874467287e-16,-2.0926478117397796e-14,-1.5180198141221305e-14,-1.3347047153576397e-15,4.405155000571161e-14,1.4558215521139588e-18,-1.3889159639066902e-16,-8.576300852369304e-17,-3.797869667049173e-15,-3.6609993885748066e-16,4.072780485239708e-20,4.16359107523787e-15,-3.067232828757738e-14,0.2546213476444808,-2.0216794254687926e-13,4.999142529739667e-23,3.045886456366049e-20,1.0631281833914088e-20,1.2863902110781521e-27,3.8163422088823883e-13,3.623074698271843e-15,6.422757936447027e-14,-234.96475690676334
550.8789639718533,0.24225672028786638,0.4,-8.221335670017443e-19,0.5888491353607008,2.0780240586405034e-18,2.1853253783789524e-14,-1.1431463547614062e-23,0.15652951699458206,1.664597256446966e-21,3.2610128492005676e-14,7.958298047924799e-23,-7.487718307741985e-16,-1.90223317538108e-14,-1.5098336769431034e-14,-1.335867547582864e-15,4.4788798434752926e-14,1.0923837509176716e-18,-1.4029301989446422e-16,-8.556431795320004e-17,-3.798854689695052e-15,-3.6769316351517523e-16,1.0141237180940917e-19,4.155045976158642e-15,-2.970378422313298e-14,0.25462134764449357,-1.455276163525066e-13,-1.5515452153549975e-22,-9.061160627698666e-20,2.655647230653753e-20,-4.2531862470120124e-27,2.6902390517192323e-13,2.6461459614765904e-15,6.421569170868634e-14,-156.8909640707041
550.8789639720891,0.242256720287966,0.44,3.477354858528008e-19,0.5888491353607126,5.787552678224243e-18,3.130542196954294e-14,1.8008017910042378e-23,0.15652951699458387,1.4195115636888048e-20,3.2654136016733045e-14,1.0793544222727687e-22,-8.395924735243154e-16,-1.8064046685027415e-14,-1.5049497759299847e-14,-1.3348867932491614e-15,4.5168281864521083e-14,9.616400410613157e-19,-1.3925643970800449e-16,-8.372071319832807e-17,-3.797777745919006e-15,-3.665309793008908e-16,1.0405879650545218e-19,4.152817896878515e-15,-2.922557751939797e-14,0.25462134764449784,-1.1664928238264947e-13,2.328715601372377e-22,1.1679312617687942e-19,3.023860876632229e-20,6.267170775666416e-27,2.1171053618432786e-13,2.169660980972402e-15,6.421185943220534e-14,-117.85406765267447
550.8789639722618,0.24225672028812528,0.48,-5.1599557070697935e-18,0.5888491353604938,-1.1353242675935747e-17,4.29386540460446e-13,-8.315528646255323e-23,0.1565295169945237,-3.42954925278461e-20,3.2640035899111986e-14,-2.0795033487480215e-23,-9.327242945290584e-16,-1.7177452264470898e-14,-1.5050153367753004e-14,-1.3392685949483101e-15,4.5437241264609896e-14,2.0822190584038532e-19,-1.441231752808621e-16,-8.777559385760472e-17,-3.802040059055934e-15,-3.72040234420076e-16,7.533838442004502e-20,4.143899461440248e-15,-2.8761930035527697e-14,0.25462134764439864,-9.525371223639976e-14,-1.1021372324596113e-21,-5.9367300156505435e-19,1.2178442192916424e-20,-2.9886490336105825e-26,1.6937615465267477e-13,1.6962472662259159e-15,6.42025181928651e-14,-78.81717123464487
550.8789639723279,0.24225672028962,0.5,5.685095865291629e-18,0.5888491353566638,2.433322093714057e-17,7.0212662656903265e-12,3.1966788804345204e-22,0.15652951699348985,1.5327900988630048e-19,3.2731695479671866e-14,3.9073508908665986e-22,-9.639461375691298e-16,-1.6615096817386518e-14,-1.497818766149181e-14,-1.3305991085431371e-15,4.556441954639493e-14,1.8956214483046384e-18,-1.3456149732463707e-16,-7.780676178878759e-17,-3.7933397185047065e-15,-3.612187086139591e-16,6.490208436811568e-20,4.1531915175795346e-15,-2.851830998707981e-14,0.25462134764267746,-8.70612293895487e-14,4.229526894037529e-21,1.9231259164726427e-18,5.044277627602768e-20,1.145583899151752e-25,1.5344562372934997e-13,1.4759121319106447e-15,6.420953916048021e-14,-59.29872302563
550.8789639723543,0.2422567203021588,0.51,6.2150064498990776e-18,0.5888491353239381,2.3977413629695674e-17,6.328045053892311e-11,4.79372086075729e-23,0.1565295169846616,2.8178139257486586e-20,3.2759519527058275e-14,1.0116824903415063e-22,-9.84268095703993e-16,-1.6377734119531148e-14,-1.4967967312348653e-14,-1.3301202156044806e-15,4.5608987852013935e-14,9.27245046786338e-19,-1.3406249008497442e-16,-7.710396793259361e-17,-3.792833829574626e-15,-3.6069160955355354e-16,4.909775709963572e-20,4.152895288383582e-15,-2.8401968868908682e-14,0.25462134762797484,-8.372222575452116e-14,6.57745080693786e-22,9.715267409979554e-19,1.9502690722681543e-20,1.773804763654023e-26,1.4694895891421925e-13,1.3613931429033525e-15,6.420889875637764e-14,-49.53949892112258
550.8789639723756,0.24225672044890564,0.52,-6.02719636286843e-18,0.5888491349406004,-1.4439335135273778e-17,7.222475364839238e-10,-7.361374709166888e-22,0.15652951688125405,-3.3916174200139563e-19,3.3349352546156205e-14,-7.404633835892628e-22,-1.017474559377212e-15,-1.6254557552890167e-14,-1.5028794445186012e-14,-1.339919941803023e-15,4.5619670283774897e-14,-2.5008362030783764e-18,-1.448811094492198e-16,-8.771848331346776e-17,-3.802581825701487e-15,-3.728908962375295e-16,2.3667649656927972e-20,4.1397058483981204e-15,-2.8299038397364384e-14,0.254621347455755,-8.113429629278589e-14,-9.757595992189357e-21,-3.438744831516962e-18,-6.883481224063066e-20,-2.644509947220186e-25,1.4179645678068588e-13,1.2345353782533249e-15,6.419724884400579e-14,-39.78027481661517
550.8789639724617,0.2422567221676963,0.53,-1.1711606421008413e-19,0.5888491304505304,7.05015635343622e-18,8.440773086123329e-09,3.3094646280291135e-22,0.1565295156700342,1.4968370348861935e-19,5.686070242090975e-14,3.6377429866019667e-22,-1.0314363249407545e-15,-1.597156456499403e-14,-1.4994911150498168e-14,-1.3350850947477945e-15,4.565546286350363e-14,9.9630226007775e-19,-1.3971054758391615e-16,-8.232943330129227e-17,-3.797908429441646e-15,-3.659039251578196e-16,3.3449413831727196e-20,4.144883943945724e-15,-2.8178139694666777e-14,0.2546213454384973,-7.923264492112999e-14,4.24085385385418e-21,4.079631407233216e-19,4.164890174547389e-20,1.1502674173712845e-25,1.3827672621320418e-13,1.1287157806448099e-15,6.420113435234912e-14,-30.02105071210781
