First Column is atom type.
Columns 2-4 are the Cartesian coordinates, in Angstroms.

CH3
C    	0.000000	0.000000	0.000000 !#1
H    	0.000000	0.000000	1.080698 !#2
H    	0.935933	0.000000	-0.540319 !#3
H    	-0.935958	0.001753	-0.540282 !#4

OH
O       0.000000    0.000000    0.000453 !#1
H       0.000000    0.000000    0.974756 !#2


HCO
O    	0.001700	0.000000	0.000490 !#1
H    	0.002244	0.000000	2.031219 !#2
C    	0.535643	0.000000	1.043804 !#3

CH2O
C    	0.002502	0.000000	0.001573 !#1
H    	-0.002308	0.000000	1.107229 !#2
H    	0.997808	0.000000	-0.479956 !#3
O    	-1.012276	0.000000	-0.637893 !#4

O2
O       0.000000    0.000000    0.000494 !#1
O       0.000000    0.000000    1.205134 !#2

HO2
O    	0.001481	0.000000	0.000030 !#1
H    	-0.000404	0.000000	0.975482 !#2
O    	1.279329	0.000000	-0.353212 !#3

C2H4
C    	-0.000528	0.000000	-0.000332 !#1
H    	-0.002015	0.000000	1.082073 !#2
H    	0.968814	0.000000	-0.481972 !#3
C    	-1.126154	0.000000	-0.699001 !#4
H    	-1.124670	0.000000	-1.781408 !#5
H    	-2.095499	0.000000	-0.217363 !#6

vinoxy
O    	0.000000	0.000000	0.000000 !#1
C    	0.000000	0.000000	1.234563 !#2
H    	0.957617	0.000000	1.786688 !#3
C    	-1.192619	0.000000	2.012149 !#4
H    	-1.154079	-0.000248	3.095367 !#5
H    	-2.154366	0.000266	1.512525 !#6

acetyl
C    	0.000000	0.000000	0.000000 !#1
C    	0.000000	0.000000	1.509472 !#2
H    	1.019689	0.000000	1.908143 !#3
H    	-0.547029	0.879395	1.856774 !#4
H    	-0.546967	-0.879583	1.856432 !#5
O    	0.917179	-0.000419	-0.742656 !#6

acetaldehyde
C    	-0.000028	-0.000007	-0.000047 !#1
H    	0.000024	-0.000992	1.112226 !#2
C    	1.361842	-0.000099	-0.638136 !#3
H    	1.922109	-0.879483	-0.301610 !#4
H    	1.283698	0.000908	-1.725214 !#5
H    	1.922964	0.878136	-0.300040 !#6
O    	-1.043651	0.001031	-0.604434 !#7

glyoxal
O    	0.000000	0.000000	0.000000 !#1
C    	0.000000	0.000000	1.203175 !#2
H    	0.922255	0.000000	1.815972 !#3
