T,IDT
8.022164139183477, 0.041334573667736504
8.135954957498653,0.056260008
8.239248730330742,0.080245316
8.345502463851535, 0.13530639239039938
8.391892117, 0.17220148979779726
8.481672268913664, 0.28267257681025254
8.528060470879083, 0.3621673056248398
8.581937852, 0.46714603665640436
8.677723573931152, 0.7220136037727111
8.734604466361478, 0.9006546356238454
8.791488262137255,1.108555006
8.845377257078901, 1.3553294555579856
8.972626533238586, 2.067137507798031
9.089406345696988, 2.9093429559759674
9.225666154, 4.0135423975394175
9.337979169948053, 4.974098217830473
9.447306095, 5.882306915821291
9.538662762634814,6.726977906
9.640512121104345, 7.489962892089852
9.743861058,8.283894012
9.845714771, 9.040100831971497
