T,IDT
9.807022471910113, 3.4796338444067243
9.845646067, 4.291289948852899
9.910252808988764, 6.041574840947444
9.95238764, 7.505841012547529
10.022612359550562, 10.567242195713279
10.119522471910113, 16.983685883836117
10.16306179775281, 21.334058539069485
10.206601123595506, 27.096135051950313
10.245926966292135, 34.541298365978626
10.286657303370786, 45.51420537484445
10.316151685393258, 58.23387888129147
10.351264044943822, 78.44561824183931
10.372331460674157, 94.98079114920333
10.392696629213484, 115.85046027304536
10.409550561797753, 137.20823940401306
10.425, 157.79130467663902
