T,IDT
8.031209511940371, 0.031838640624123615
8.131528807356498, 0.041073853156543716
8.204889088574538,0.051239196
8.282727780152875,0.068805384
8.366527039944954, 0.10705444091458347
8.420397163141159, 0.14278513199106108
8.498206821264974, 0.2192010319605522
8.549085047, 0.2865468344565725
8.60895203, 0.37459476244412987
8.686782011742581, 0.5236289662830504
8.731686604181833, 0.6274473701879213
8.842455039881079, 0.9633515836401714
8.905328437, 1.2017287020137501
8.974194339782873, 1.4991212568615546
9.046055043074759, 1.8826882853508355
9.114925300550691, 2.3019072711390174
9.201767266376864, 2.8910210765365307
9.300595693903192, 3.606825540873416
9.390448428963484, 4.236655763180878
9.516247484069707, 5.181020705633046
9.603111225, 5.885375018716194
9.701964330949444, 6.552838299268253
9.821786849, 7.444510898116365
9.917648057915935, 8.123930527641226
10.019501771403643, 8.865534857683182
