1.0,6.528533103566342e-14
3.25,1.9572697063722696e-13
5.5,3.1951127067832946e-13
7.75,4.3977186862658825e-13
10.0,5.576302268892393e-13
12.25,6.478840931981029e-13
14.5,7.338900906789442e-13
16.75,8.164697957700615e-13
19.0,8.961971153549851e-13
21.25,9.73493492561327e-13
23.5,1.048680266298891e-12
25.75,1.1220097459896459e-12
28.0,1.1936847648239419e-12
30.25,1.263871568124573e-12
32.5,1.3327086360583132e-12
34.75,1.4003129160656816e-12
37.0,1.4667843439767493e-12
39.25,1.5322091991554063e-12
41.5,1.5966626439179525e-12
43.75,1.6602106789763158e-12
46.0,1.7229116722862706e-12
48.25,1.7848175706485292e-12
50.5,1.8459748715936012e-12
52.75,1.906425411527192e-12
55.0,1.966207011214083e-12
57.25,2.02535400919228e-12
59.5,2.083897706206158e-12
61.75,2.1418667382989116e-12
64.0,2.1992873921927096e-12
66.25,2.2561838735949113e-12
68.5,2.3125785368135045e-12
70.75,2.3684920823460033e-12
73.0,2.4239437277833093e-12
75.25,2.478951356342025e-12
77.5,2.5335316465337652e-12
79.75,2.5877001858439425e-12
82.0,2.6414715707864617e-12
84.25,2.6948594952955365e-12
86.5,2.747876829088495e-12
88.75,2.8005356873683826e-12
91.0,2.852847493018152e-12
93.25,2.9048230322606678e-12
95.5,2.956472504611708e-12
97.75,3.0078055678315742e-12
100.0,3.058831378479417e-12
