1.0,[0.65325971]
3.25,[0.63893755]
5.5,[0.63004269]
7.75,[0.6217257]
10.0,[0.61497013]
12.25,[0.60964398]
14.5,[0.60525362]
16.75,[0.60152294]
19.0,[0.59828203]
21.25,[0.59468002]
23.5,[0.59090087]
25.75,[0.58748835]
28.0,[0.58437918]
30.25,[0.58152505]
32.5,[0.57888826]
34.75,[0.57643883]
37.0,[0.57415254]
39.25,[0.57200953]
41.5,[0.56999336]
43.75,[0.56809022]
46.0,[0.56628842]
48.25,[0.564578]
50.5,[0.56295037]
52.75,[0.56139809]
55.0,[0.55991467]
57.25,[0.55849442]
59.5,[0.55713233]
61.75,[0.55537913]
64.0,[0.5535695]
66.25,[0.55182801]
68.5,[0.55014989]
70.75,[0.54853086]
73.0,[0.54696708]
75.25,[0.54545502]
77.5,[0.54399151]
79.75,[0.54257365]
82.0,[0.54119879]
84.25,[0.53986448]
86.5,[0.53856851]
88.75,[0.53730881]
91.0,[0.53608348]
93.25,[0.53489078]
95.5,[0.53372908]
97.75,[0.53259686]
100.0,[0.53149274]
