1.0,[1.47272092]
3.25,[1.39548559]
5.5,[1.35394986]
7.75,[1.31895759]
10.0,[1.29141821]
12.25,[1.26990358]
14.5,[1.25230006]
16.75,[1.23743478]
19.0,[1.22459049]
21.25,[1.21053823]
23.5,[1.195966]
25.75,[1.18287932]
28.0,[1.17101535]
30.25,[1.16017443]
32.5,[1.15020148]
34.75,[1.1409737]
37.0,[1.13239228]
39.25,[1.12437655]
41.5,[1.11685985]
43.75,[1.10978646]
46.0,[1.10310936]
48.25,[1.09678854]
50.5,[1.09078963]
52.75,[1.08508297]
55.0,[1.07964271]
57.25,[1.07444627]
59.5,[1.06947376]
61.75,[1.06328605]
64.0,[1.05695732]
66.25,[1.05088303]
68.5,[1.04504481]
70.75,[1.03942617]
73.0,[1.03401226]
75.25,[1.02878964]
77.5,[1.02374612]
79.75,[1.01887062]
82.0,[1.01415305]
84.25,[1.00958415]
86.5,[1.00515545]
88.75,[1.00085916]
91.0,[0.99668813]
93.25,[0.99263573]
95.5,[0.98869584]
97.75,[0.9848628]
100.0,[0.98113135]
