1.0,[0.47544631]
3.25,[0.46880183]
5.5,[0.46422275]
7.75,[0.45953939]
10.0,[0.45565817]
12.25,[0.45259147]
14.5,[0.45005906]
16.75,[0.44790394]
19.0,[0.44602931]
21.25,[0.4439916]
23.5,[0.44187963]
25.75,[0.43996961]
28.0,[0.43822695]
30.25,[0.43662518]
32.5,[0.43514362]
34.75,[0.43376581]
37.0,[0.43247843]
39.25,[0.43127056]
41.5,[0.43013313]
43.75,[0.42905854]
46.0,[0.42804034]
48.25,[0.42707302]
50.5,[0.42615183]
52.75,[0.42527267]
55.0,[0.42443193]
57.25,[0.42362647]
59.5,[0.4228535]
61.75,[0.42181589]
64.0,[0.42073535]
66.25,[0.41969479]
68.5,[0.41869142]
70.75,[0.41772277]
73.0,[0.41678658]
75.25,[0.41588081]
77.5,[0.41500362]
79.75,[0.41415331]
82.0,[0.41332832]
84.25,[0.41252725]
86.5,[0.41174878]
88.75,[0.41099171]
91.0,[0.41025494]
93.25,[0.40953744]
95.5,[0.40883826]
97.75,[0.40815651]
100.0,[0.40749138]
