T,IDT
9.808426966292135, 2.790531318078147
9.886376404494381, 3.9431803902173765
9.983286516853934,5.759481486
10.053511235955057, 7.5058410125475135
10.130758426966292, 10.000000000000005
10.21502808988764, 13.771385506114793
10.28806179775281, 18.28019527387297
10.352668539325844, 23.735553354754636
10.411657303370786, 30.70580215193562
10.477668539325844, 42.286143870879506
10.519803370786518, 53.70713045777201
10.56123595505618, 69.99192260978124
10.587219101123596, 84.74518185370302
10.631460674157305, 120.19107082401003
10.656039325842697, 149.8714295465216
10.676404494382023, 178.81179634687186
