1.0,[0.52847334]
3.25,[0.51726187]
5.5,[0.51125508]
7.75,[0.50693142]
10.0,[0.5034831]
12.25,[0.50058149]
14.5,[0.4980577]
16.75,[0.49581254]
19.0,[0.4937824]
21.25,[0.49192386]
23.5,[0.49020583]
25.75,[0.48860527]
28.0,[0.48710454]
30.25,[0.48568985]
32.5,[0.48435019]
34.75,[0.4830766]
37.0,[0.48186171]
39.25,[0.48069936]
41.5,[0.47958436]
43.75,[0.47851226]
46.0,[0.47747925]
48.25,[0.47648204]
50.5,[0.47551773]
52.75,[0.47458379]
55.0,[0.47367798]
57.25,[0.47279832]
59.5,[0.47194302]
61.75,[0.47111049]
64.0,[0.47029929]
66.25,[0.46950814]
68.5,[0.46873585]
70.75,[0.46798135]
73.0,[0.46724366]
75.25,[0.46652189]
77.5,[0.46581522]
79.75,[0.46512288]
82.0,[0.46444418]
84.25,[0.46377848]
86.5,[0.46312516]
88.75,[0.46248368]
91.0,[0.46185352]
93.25,[0.46123419]
95.5,[0.46062524]
97.75,[0.46002625]
100.0,[0.45943683]
