1.0,[0.86146695]
3.25,[0.8463528]
5.5,[0.83804603]
7.75,[0.83197033]
10.0,[0.82706426]
12.25,[0.82289313]
14.5,[0.81923244]
16.75,[0.81594981]
19.0,[0.81296002]
21.25,[0.81020474]
23.5,[0.80764208]
25.75,[0.80524092]
28.0,[0.80297738]
30.25,[0.80083275]
32.5,[0.79879206]
34.75,[0.79684312]
37.0,[0.79497585]
39.25,[0.79318184]
41.5,[0.79145398]
43.75,[0.78978618]
46.0,[0.78817321]
48.25,[0.78661052]
50.5,[0.78509415]
52.75,[0.7836206]
55.0,[0.78218677]
57.25,[0.78078991]
59.5,[0.77942757]
61.75,[0.77809754]
64.0,[0.77679783]
66.25,[0.77552663]
68.5,[0.77428232]
70.75,[0.7730634]
73.0,[0.7718685]
75.25,[0.77069639]
77.5,[0.7695459]
79.75,[0.76841599]
82.0,[0.76730567]
84.25,[0.76621404]
86.5,[0.76514026]
88.75,[0.76408355]
91.0,[0.76304318]
93.25,[0.76201848]
95.5,[0.7610088]
97.75,[0.76001356]
100.0,[0.7590322]
