T [K],vel [m/s],dist [m],X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_OHV,X_H2O2,X_HO2,X_CO,X_CO2,X_HOCO,X_CH4,X_CH3,X_OCHO,X_C2H6,X_N,X_NO,X_NOV,X_NO2,X_N2O,X_NH3,X_HNO,X_HON,X_HONO,X_H2NO,X_NNH,X_NH2,X_NH,X_HNOH,X_NO3,X_HONO2,X_HNO3,X_N2H2,X_N2H3,X_N2H4,X_H2NN,X_NH2OH,X_HNO2,X_N2O4,X_N2O3,tau [ms]
551.483360349913,0.19078350928511373,0.0,-8.424253922798204e-19,0.5888491353607606,-2.540209683864022e-18,1.5944189414363634e-15,4.840620571277411e-16,0.15652951699463252,4.6543047106958635e-15,1.9951504546879353e-15,-1.3643959613227022e-18,-2.8704484910440635e-15,-2.818350260445963e-15,3.1726745477594567e-18,-8.8643560038546e-19,-6.949624782511289e-19,-6.56244555188205e-19,-9.619038627891979e-19,-9.669776853016124e-19,-6.562445142349818e-19,-6.455261185540753e-19,1.3418389077930543e-15,-1.9271360313497815e-16,-8.801408757277892e-19,-2.3314523140926853e-18,2.5265595986226385e-17,0.25462134764460237,-8.916782134974639e-19,-8.921205495602972e-19,-1.8886420549965297e-20,-6.575428816139076e-16,-8.76184485929032e-19,4.4212946278117845e-17,-1.4641573529047694e-18,5.538918273503654e-16,-6.913248784004334e-19,-3.7147480946994446e-16,2.5128687096130383e-17,1.8783842646625127e-15,1.6753859965248213e-15,-2.565276406711599e-15,-5.581299071579789e-16,-8.095864027146829e-17,5.478801750457275e-16,-4.526677884209524e-19,-4.623029134359104e-19,-21.622874937048703
551.483360349886,0.19078350928510462,0.005000000000000001,7.22689273230071e-19,0.5888491353607601,2.807748117261785e-18,2.6746913603516235e-15,1.0486216602499388e-22,0.15652951699463072,4.182124588333405e-19,5.136831461215168e-15,2.3181734688055222e-21,-1.520656327003525e-23,-3.149486903025586e-15,1.2430289474608346e-15,7.111575317172765e-19,1.6070365668234003e-18,1.1920503907773058e-24,7.723191169449047e-19,7.764374724760117e-19,1.8293708268689552e-23,5.165905790942125e-19,5.697050716771091e-20,1.157016656433717e-15,7.060672774419656e-19,-5.563801718714838e-16,2.6512857310319663e-17,0.254621347644593,1.3589367275168155e-19,2.981847121048233e-23,2.6636140451318175e-16,-6.347804965261756e-16,3.4115206314509695e-27,8.764431514018209e-15,3.406366448031288e-23,5.345961437913321e-16,5.533837089742773e-19,-3.702184616282604e-16,2.6370482915773873e-17,1.879946572028589e-15,1.6761819652196416e-15,-2.579315239445075e-15,-4.7911176524377e-20,-7.92317246934814e-17,2.8394779372401666e-16,-1.3003191368129348e-26,3.6924829369217434e-19,-15.463599875874706
551.4833603498287,0.19078350928510224,0.010000000000000002,1.5636115880825336e-18,0.5888491353607027,5.410620753076512e-18,9.423026537327215e-14,1.3732578551617975e-24,0.15652951699461487,2.636009187284231e-22,5.142920665027325e-15,4.092327275940598e-24,7.258625918497977e-27,-3.432380655968024e-15,1.890666042318235e-15,1.5688252512727869e-18,3.5644831233267025e-18,1.5055695168465308e-24,1.7000395116013877e-18,1.7088536233626498e-18,2.3105656520350655e-23,1.1475103203661091e-18,5.504476347341924e-23,1.1580424316602015e-15,1.5578587859893264e-18,-5.532386893540129e-16,2.7187157644783332e-17,0.2546213476445672,2.684343666993631e-19,3.766202703968307e-23,4.0438761824059015e-16,-6.131544443641379e-16,4.30529617905964e-27,2.2577845947514733e-14,-9.680752495469324e-23,5.153239246663758e-16,1.2275682265619441e-18,-3.695311376947988e-16,2.70432805700804e-17,1.8807558579338196e-15,1.6762927389172444e-15,-9.314003633130477e-15,7.19978663918597e-23,-7.824210350093957e-17,1.4717908334802091e-16,-1.1696632312349989e-26,8.245601739952736e-19,-9.304324814700708
551.483360349659,0.19078350928556254,0.0125,-2.2291395712831e-18,0.588849135358982,-7.182219433008825e-18,3.0311959383250843e-12,-1.2136920068170742e-23,0.15652951699415066,-1.4973529969707553e-21,5.094659591425377e-15,-6.572703427227639e-23,-6.36660548575528e-26,-3.5632549988215676e-15,2.1412215996467156e-15,-2.30172555234912e-18,-5.214658907680648e-18,-1.3205275660455203e-23,-2.4970290358905115e-18,-2.5101618244868102e-18,-2.026452216947079e-22,-1.6774204120723689e-18,-4.6153867705261e-22,1.1259468844080635e-15,-2.2853824509186783e-18,-5.674447746855899e-16,2.4161458593180948e-17,0.2546213476437944,-3.359232251638679e-19,-3.3030548432272725e-22,4.46955834132252e-16,-6.062289127810413e-16,-3.7749643535321784e-26,6.362597680971302e-14,-1.2408933904151574e-21,5.016653542399202e-16,-1.7962132604792797e-18,-3.725405609003515e-16,2.4026535014337498e-17,1.876877124568412e-15,1.6726415205977103e-15,-2.980174592847293e-14,-6.5556727793591175e-22,-8.200534194225441e-17,9.83024617330301e-17,-8.046024408138698e-26,-1.201960872848947e-18,-6.2246872841137115
551.4833603495524,0.19078350929391819,0.01375,-1.1029411993921118e-18,0.5888491353311431,-3.2491865974854466e-18,5.087403326770341e-11,6.687418277261042e-24,0.15652951698664086,1.0719927021740814e-21,5.119113018698825e-15,6.631252021508722e-24,3.542874356866865e-26,-3.622499596006899e-15,2.2921124853371943e-15,-1.1513023401510495e-18,-2.633929437194239e-18,7.34829521729851e-24,-1.2445889176166511e-18,-1.2508459284850321e-18,1.1273285815904174e-22,-8.496411850353345e-19,2.567402794927534e-22,1.1231356074122654e-15,-1.1434653290227987e-18,-5.6322955318583465e-16,2.5050165306898332e-17,0.2546213476312871,7.252931986731295e-19,1.8374035698766573e-22,4.664791235656243e-16,-5.99513468127197e-16,2.101345682769465e-26,8.958987769926075e-14,-8.805060895478618e-22,4.979459908252987e-16,-9.075982619805553e-19,-3.716504513535537e-16,2.4912992429637947e-17,1.8779442108814558e-15,1.6733771000422446e-15,-4.273453972677054e-14,3.70065566365621e-22,-8.08330966836087e-17,8.041808454862069e-17,1.5916941292829844e-26,-6.155340717987602e-19,-4.684868518820214
551.4833603494311,0.19078350947890352,0.015,4.472592067441984e-18,0.58884913471737,6.7077815117845185e-18,1.1059557934357084e-09,4.5292516965832767e-23,0.15652951682107177,6.284133196195606e-21,6.528753419827338e-15,1.5961176798321032e-22,2.381244862750248e-25,-3.675970632238066e-15,2.487741557705055e-15,4.509932172103221e-18,1.09049039175676e-17,4.9390219775514623e-23,4.764850297959839e-18,4.781356014264146e-18,7.578647647512975e-22,3.5708799332080274e-18,1.7259712392278856e-21,1.1419338289100164e-15,4.4877770146221175e-18,-5.416843961053681e-16,2.9726616416479674e-17,0.2546213473555304,3.029106396858452e-18,1.2352450983480675e-21,4.870966901500152e-16,-5.878805357497769e-16,1.4121070796647667e-25,1.20275854413488e-13,1.226481148488929e-22,4.987271527269752e-16,3.764018408343275e-18,-3.669839485494447e-16,2.9575890505875377e-17,1.8835331377275157e-15,1.6780786378039932e-15,-5.800357950570649e-14,2.4671475469107527e-21,-7.517575951256405e-17,6.903696221041822e-17,2.1278726805100896e-25,2.7213730724681868e-18,-3.1450497535267137
551.4833603494639,0.1907835110321765,0.015625,-4.017945614036263e-17,0.5888491295648883,-1.1437847932488658e-16,9.963265999355555e-09,-6.24641934410627e-22,0.15652951543116225,-8.333009660536575e-20,4.065920611707954e-14,-2.552333325117839e-21,-3.29208546030182e-24,-3.752285561183259e-15,2.106749919373155e-15,-4.097294582498737e-17,-9.431136906024596e-17,-6.828148106526757e-22,-4.416967768551455e-17,-4.43831928200023e-17,-1.0475635475434635e-20,-3.047546474867794e-17,-2.3856323027443434e-20,9.380453539290643e-16,-4.070374026931214e-17,-7.106500080012431e-16,-6.423033038942926e-18,0.2546213450405711,-2.1515068152896593e-17,-1.7073650537089936e-20,4.535596127428184e-16,-6.253591197534039e-16,-1.9521569966059027e-24,1.3636982082612978e-13,-2.091323288549071e-20,4.512102781028035e-16,-3.250313909581214e-17,-4.031708899379726e-16,-6.6127585127980404e-18,1.841581978100935e-15,1.6392056980635185e-15,-6.637223104637537e-14,-3.401238959026068e-20,-1.200776978077623e-16,2.957875342624055e-17,-3.2205015730248463e-24,-2.2184169539526564e-17,-2.375140370879963
551.4833603508727,0.19078351794069504,0.0159375,1.1549785522261587e-17,0.5888491066496386,3.678262495369033e-17,4.935572928192238e-08,1.4067517997960876e-21,0.1565295092496799,1.8732987168657765e-19,4.87353019314754e-13,5.634133865839356e-21,7.375789726873994e-24,-3.69106595614059e-15,2.670341855317877e-15,1.1754568504131637e-17,2.6770495374003342e-17,1.5297688120840241e-21,1.2721113235024976e-17,1.2785952269408935e-17,2.345809561260795e-20,8.633954022505975e-18,5.3415079194464544e-20,1.3682991670806486e-15,1.1673565216736402e-17,-5.106180108150022e-16,3.7856064902902673e-17,0.25462133474438625,2.3186564151809078e-17,3.822896755138988e-20,5.004181481529445e-16,-4.949070297296095e-16,4.373754726235482e-24,1.4556077892842548e-13,4.226342619892452e-20,5.031525299895087e-16,9.23022522353858e-18,-3.615287764159222e-16,3.5033643815511006e-17,1.9338844361681237e-15,1.683942190230267e-15,-7.053862768581331e-14,7.612629453708726e-20,-6.559339375925292e-17,6.700799563651319e-17,7.152347815358141e-24,6.2244006697061184e-18,-1.99018567955659
551.4833603772884,0.19078356121631787,0.01625,-1.3843423772744797e-17,0.5888489631278264,-3.9610250164074935e-17,2.960813145861983e-07,-6.436194337940797e-22,0.15652947053460506,-8.989209831176178e-20,8.315563716387117e-12,-2.757427576931781e-21,-3.565552193659658e-24,-3.2694732205277705e-15,2.7067181398194556e-15,-1.4136039794549536e-17,-3.248395169006239e-17,-7.394662296188525e-22,-1.524697177785685e-17,-1.5321197143598913e-17,-1.1329361360226892e-20,-1.0494985084579147e-17,-2.5791867259231237e-20,5.342678617437057e-15,-1.4042504242102682e-17,-4.95161313919504e-16,8.22509484482312e-17,0.25462127024784814,3.319821851575912e-17,-1.845948852030071e-20,4.93615714069958e-16,1.0291061436906634e-15,-2.114304461782108e-24,1.54566360573583e-13,-2.2562810143885214e-20,4.885215998404725e-16,-1.1197566422525742e-17,-3.8189878245776905e-16,1.4796328337968224e-17,2.747936271854011e-15,1.6649203061077626e-15,-7.489656400249647e-14,-3.670525254237396e-20,-4.535017090512749e-17,4.421863952381813e-17,-3.48512721402099e-24,-7.627565296433058e-18,-1.6052309882332132
551.4833608639278,0.19078383236823798,0.0165625,-9.508487860852703e-18,0.5888480642557509,-2.4949895153582782e-17,1.841389069451386e-06,3.292301526798996e-22,0.15652922807164377,1.28521041851739e-20,1.456654654085811e-10,3.537888944258004e-22,4.976632542144112e-25,6.017145707508825e-15,7.320927713521271e-15,-9.70603527960654e-18,-2.261412487543483e-17,1.0319139160386972e-22,-1.041729685847681e-17,-1.0464614141041948e-17,1.5769596016201473e-21,-7.332235304210579e-18,3.589516217877389e-21,8.815444508257278e-14,-9.64579106239413e-18,2.096777292379767e-15,1.748456336883911e-15,0.25462086613761487,1.0802630837281053e-15,2.5682089822586425e-21,7.982775144433847e-16,3.242323931421533e-14,2.9555422790621194e-25,1.7231161109799338e-13,1.3471980296167345e-21,7.42410395889791e-16,-7.795947424462577e-18,-3.7822502324250176e-16,2.1908247515952295e-17,2.0076445387093066e-14,1.738768487159529e-15,-7.943719091743854e-14,5.098355188531339e-21,8.950863288167552e-16,4.5038739722636764e-17,4.623196004378122e-25,-5.411892590896014e-18,-1.2202762969098397
