T [K],vel [m/s],dist [m],X_AR,X_HE,X_N2,X_H,X_O,X_OH,X_H2,X_O2,X_HO2,X_H2O2,X_H2O,X_OH*,X_CO,X_CO2,X_HCO,X_CH2O,X_CH,X_C,X_CH2-3,X_CH2-1,X_C2H2,X_CH3,X_CH4,X_HOCHO,X_CH2OH,X_OCHO,X_CH3O,X_C2H4,X_CH2CO,X_C2H6,X_CH3OH,X_CH3O2,X_CH3O2H,X_C2H3,X_C2H5,X_C2H5OH,X_C2H5O,X_CH3CHO,X_CH3CO,X_CH2O2H,X_C2H,X_C2,X_C2O,X_HCCO,X_H2CC,X_C3H3,X_C4H2,X_C3H5,X_CH2CHO,X_C2H3OO,X_HCCOH,X_C4H4,X_C2H2OH,X_C2H3CHO,X_C3H4O,X_CHCHO,X_CHOCHO,X_CHOCO,X_CH3CO2,X_CH3CO3,X_CH3CO3H,X_C3H6,X_C3H8,X_I-C3H7,X_N-C3H7,X_C3H4,X_C3H4P,X_CH2CHOH,X_CH3CHOH,X_CH2CH2OH,X_C2H5O2,X_C2H4O1-2,X_C2H5O2H,X_C2H5CHO,X_C2H5CO,X_C2H4O2H,X_C2H3O1-2,X_CH3OCH3-DME,X_CH3OCH2,X_CH3OCH2O2,X_CH3OCH2O2H,X_CH3OCH2O,X_CH3OCHO,X_CH2OCHO,X_CH3OCO,X_CH2OCH2O2H,X_O2CH2OCH2O2H,X_HO2CH2OCHO,X_OCH2OCHO,X_HOCH2OCO,X_HOCH2O,X_CH*,X_N,X_NO,X_N2O,X_NO2,X_NH,X_NH2,X_NH3,X_HNO,X_HONO,X_H2NO,X_NNH,X_N2H2,X_N2H3,X_N2H4,X_H2NN,X_HNOH,X_NH2OH,X_HNO2,X_NO3,X_HONO2,X_CN,X_HCN,X_HCNO,X_NCN,X_HNC,X_HNCN,X_H2CN,X_C2N2,X_HOCN,X_HNCO,X_NCO,X_HON,X_HCNH,tau [ms]
551.2665043601629,0.17088705096669485,0.0,1.5072754930898194e-21,-4.917462605725679e-15,0.588849135360766,9.119291902130384e-21,2.4195797237454015e-21,2.3751487608822658e-21,1.3282094092610753e-16,0.15652951699463422,2.252184186420521e-16,-4.761376909865822e-16,1.843672178763172e-18,2.375113764594534e-21,-8.059710309475108e-20,2.674482739995718e-22,1.2478608557886664e-21,-1.6667994425395464e-23,2.5838130165356306e-21,2.2643703940909176e-21,1.723267604495068e-21,1.723267618419219e-21,1.4650582024368282e-21,1.6857373943561172e-21,-3.2092133005588134e-20,9.404187071537727e-22,1.2137627348199164e-21,9.17126387507164e-22,1.2137619453337841e-21,1.2991541988978901e-20,2.26923600148214e-21,8.355309355743872e-22,7.473952164763296e-22,4.128386706632988e-21,-6.116695487196187e-21,1.2582927647493443e-21,1.1437774304817933e-21,9.706632704002305e-21,1.10058271670009e-21,2.123905000100509e-20,1.0570867012179887e-21,1.1169085979589953e-21,1.282621669894886e-21,1.619021515772936e-21,1.2250768162104282e-21,1.9344126562730544e-21,1.270046739569366e-21,9.545108494315543e-22,8.055165005828806e-22,-1.9529570846112688e-20,1.0570865909768265e-21,1.0022171437696965e-21,1.056008832350169e-21,7.833915174021373e-22,1.1095147150333138e-21,7.569988042340093e-22,8.18828033260013e-22,1.098492526587037e-21,9.918451431637569e-22,1.0075808893786325e-21,1.0022262479280889e-21,9.520980771858814e-22,9.657884174607693e-22,8.92360882550509e-22,8.823150978384567e-22,8.850588972097952e-22,8.809496396812267e-22,1.5325106823996364e-20,9.504410676527596e-22,1.053271580167138e-21,1.100582938675899e-21,1.1005829385698123e-21,9.928740884945728e-22,-1.8776220316070914e-20,8.743411259196602e-22,8.2840378967621e-22,8.205664282905838e-22,8.768267169735767e-22,1.057086701248187e-21,-2.4815155180908303e-21,9.24894475613377e-22,8.523089995117234e-22,8.506640980789466e-22,7.836888229391887e-22,-1.6897118836829662e-21,9.94472110921181e-22,8.377234117559916e-22,8.523093385462212e-22,8.203001368083931e-22,8.343405162850212e-22,8.551755619322501e-22,8.551755611236245e-22,1.12541521138528e-21,2.5838130158424794e-21,2.1534746607420043e-21,2.4201422105514587e-19,1.0813895518175092e-21,5.617650124374511e-19,2.5496320146917063e-21,7.058126072022239e-17,0.2546213476446048,1.881739562726829e-21,1.5137896447761932e-21,1.3727269119524036e-18,1.5225668100397621e-21,-3.4386055611256576e-18,7.33412587720034e-17,-2.6250080541035247e-17,1.5117471892381586e-21,2.127654453127958e-21,-2.1035196396004536e-21,1.1893533319108542e-21,9.63760786012875e-22,1.1353443782123983e-21,1.530649888965331e-21,1.2268672234761495e-21,1.2058992306469625e-21,1.2268058378069805e-21,1.225279053117903e-21,1.1759016460492349e-21,1.2150771124020108e-21,9.555797486723243e-22,1.2076976094214392e-21,1.2370732919805507e-21,1.2140384747573165e-21,1.5503644026015645e-21,1.3236475082670713e-21,-966.8771795122777
551.2665042767528,0.17088705093862663,0.2,-6.960021407818314e-20,-1.5912034481324237e-11,0.5888491353698251,-2.7977709320961423e-20,2.6051337348847007e-22,2.52574533515999e-22,4.01123769381343e-13,0.15652951699976042,2.47366185405031e-12,-5.1499025928888825e-12,1.7604982141182658e-14,-3.311516197664915e-30,-9.096469049748575e-16,-1.402578594830815e-17,-2.094183747484095e-24,-1.6868951219512838e-17,-3.541398065408106e-30,-5.591151753895924e-30,-1.4873672530260424e-25,-1.6161176004896105e-29,2.7481272515659188e-18,6.153649802730713e-23,-3.4847420237087314e-16,-1.801022047574928e-18,-6.742674559524042e-29,-3.3117575134887295e-30,-1.0705510339413559e-23,1.653522280233633e-16,1.9255454375028694e-17,-4.4496927665142364e-18,-6.7480173376749904e-18,4.5699926908587315e-17,-1.0640292159392141e-16,-7.463932802913186e-29,-8.595695218152382e-28,1.3712101131949994e-16,-3.7424878009207594e-27,3.311468339292501e-16,-1.4776324336446687e-27,-2.74736452271513e-31,-3.545240013642766e-30,-5.339038300587588e-29,-7.106966812104822e-30,-3.129601197107525e-28,-3.517586391942087e-25,2.3223788262233956e-21,3.43962109771111e-19,-3.8415741046908824e-16,-1.7221566629561564e-24,-1.4534623083939075e-22,-9.715296929672165e-20,1.180356359007709e-19,-2.0030804899518125e-29,-4.1806799147579708e-19,-2.3580939082575202e-20,5.995673523867698e-19,-1.0506707566827754e-20,-4.178256416892904e-28,-7.807408607702461e-29,-2.9737722984027336e-19,-3.179307792147449e-20,1.188889928213159e-19,7.537308960743085e-20,5.589033861821091e-20,-2.1145341175662216e-20,2.5983472894902676e-16,-1.0416382651314346e-20,1.1626707398968318e-20,-2.1687530713306498e-29,-3.286821374080387e-29,-1.0113476879622158e-20,-3.26170567268739e-16,-6.995771009431996e-21,1.186390162502621e-20,1.4253813949564224e-19,-1.2432473955489885e-27,-3.275908852311331e-30,-5.991689225990552e-17,-8.757896718247232e-29,-6.481966629426437e-24,-4.8854743830933245e-21,-3.244455412898246e-27,-5.332059417510682e-17,-5.317513648847022e-22,-4.5722755782677395e-28,-7.269901966069363e-28,-1.2781095456274456e-23,-7.142007440986746e-21,-1.3146681164370096e-26,-2.9394650269848236e-26,-1.749988420262475e-25,-1.1494475135891838e-31,-2.1501048741222183e-26,2.682206296260933e-15,-1.1227700159251007e-18,7.136065912632645e-15,-2.0269960449079342e-22,4.832765022338885e-13,0.25462134764753236,3.662602019751945e-18,4.643616904799173e-18,1.5251974413996717e-14,-4.736313084335955e-27,-3.874811582340049e-14,9.649104088981977e-13,-3.816319178804382e-13,1.3742013898213866e-20,6.544844877074729e-18,-3.6265828135600184e-17,6.229041009466968e-22,-8.293074783001262e-26,1.3902570896705608e-20,1.5669551869593946e-28,3.120413633283467e-20,-7.270503525499678e-20,1.886022910148064e-20,-6.677515490013334e-21,-5.947465976373994e-19,-4.5991557771214293e-26,-1.0397897738943689e-21,-1.2604110472779398e-20,3.914267969497112e-19,6.90179223630437e-27,3.069380883775827e-25,-1.4564512215489925e-24,-690.6518459790727
551.2665041779449,0.17088705090799616,0.4,-3.6596018300232935e-20,-1.5912034365543137e-11,0.5888491353704945,-7.126332909531931e-24,-7.134893568579097e-19,-3.559792406856877e-21,9.964277843976882e-13,0.1565295169962515,8.638176798309722e-12,-8.166287741721126e-12,-1.7747421100886259e-13,-1.363144175568954e-28,-3.6208675747966165e-12,4.918485238220602e-15,-2.0591642622213588e-25,-1.204680863878724e-13,-6.955207449538846e-26,-9.017471790173604e-22,1.1423023946460784e-28,4.9792105183773765e-30,2.7905569295709747e-18,9.561734283256951e-19,-2.8675822908727676e-16,-1.6651761131546728e-18,-4.664054416945021e-25,5.611240438972499e-29,-1.958646601399388e-19,1.6539989024192967e-16,1.9278449236172173e-17,-4.4250513883067485e-18,6.060937767489281e-19,7.000190993512028e-13,-1.6638332795925187e-12,1.604971067780526e-28,1.4688757236169566e-27,1.371457310905714e-16,4.0510105862072866e-25,3.317639719493674e-16,-8.614374604240947e-24,6.085041366056871e-31,6.652898303465748e-30,-2.4743149330611974e-25,1.5282355027526218e-29,6.720787447325311e-28,3.2901550207651095e-29,2.3153348026189994e-20,3.6105764616697e-19,-8.902531050244837e-16,-9.36281027120838e-21,3.1109654359729015e-22,-7.401052244446062e-20,1.3501875461934906e-19,4.3073618115486086e-29,-4.011398654344329e-19,-5.703984966591879e-21,6.228463172991783e-19,8.955489699895174e-18,9.396610402353853e-28,3.2135801457409604e-23,-4.82268806357244e-15,-2.8117942600350515e-16,1.381989789627478e-19,9.451527070042359e-20,7.511463960611962e-20,-1.921040125079133e-21,7.659712080329696e-16,1.0310516469256931e-20,1.5267621053299995e-16,4.089802729228595e-29,7.057916644566817e-29,1.717098545170055e-20,-3.261285808379999e-16,5.545560477713166e-18,2.990490095784435e-20,1.6026821004925712e-19,2.6187782254029787e-27,7.0445547004138e-30,-5.989390354981089e-17,1.75093453750671e-28,1.3513284525300293e-23,5.952296095888533e-17,3.6598864545468264e-24,-4.4249288008001324e-17,1.1152155791813462e-21,9.86159072158431e-28,1.5277356751267456e-27,2.7002583174796476e-23,1.396878179929095e-20,2.6205482902803494e-26,6.315161388842332e-26,3.7561397165977236e-25,-4.5044848875973936e-27,3.202643986761906e-18,3.071815947459017e-12,6.343401340413801e-16,2.3835370658021935e-13,2.0111340574492418e-21,2.414752002240978e-12,0.2546213476448504,6.992825344383351e-17,2.515834209330059e-18,2.731591588975209e-13,3.0921536306638083e-25,-1.3258641759454652e-13,4.412256743022623e-12,-2.548006541326699e-12,3.135226514094289e-19,1.1773514848896127e-16,-3.0762904368973183e-17,7.790344520101609e-21,-9.813063708331055e-24,5.700648796578157e-16,-7.914993797991985e-26,-1.0155774806023511e-19,-4.633286327590202e-20,9.075779608509674e-19,1.0786022616468006e-20,-1.019066734208804e-15,-6.803817273648879e-22,1.97876994938048e-20,1.374142875027217e-20,-2.191358730381119e-16,-3.5859433317409735e-24,5.592237789556995e-24,3.1316918103560175e-24,-414.4265124458676
551.2665041663479,0.17088705090432077,0.5,1.2379227154082608e-19,-1.591203381173894e-11,0.5888491353704409,-1.4830883980030636e-24,2.366711357171071e-21,3.6512219412971135e-21,1.7564784782935504e-12,0.15652951699515227,1.0304856717966626e-11,-8.913665610271229e-12,-4.800596592094975e-14,7.143940651284461e-29,-3.620919505851054e-12,9.034952568786071e-15,8.285882168855026e-27,-1.7965021418827994e-13,7.63981907398384e-29,1.201680278686908e-28,2.2124884171223722e-27,5.005292920818076e-29,2.997195752667578e-18,9.568578139542941e-19,-2.557289189999145e-16,-1.0185855529893996e-18,-4.609426326333755e-25,6.894282357100191e-29,-1.9391281341706897e-19,1.6860931812044757e-16,1.9390954622429736e-17,-4.30487142669165e-18,5.109080697725033e-18,7.10479079330055e-13,-1.6110825701592057e-12,1.61020034245018e-27,5.18784022915062e-25,1.372621426778826e-16,4.345560652774854e-25,3.3235730444797243e-16,-2.282498515598732e-23,5.926850947196473e-30,7.648161196311076e-29,1.1517903920569649e-27,1.533188856060622e-28,6.751476857080563e-27,3.3008720452544723e-28,1.2446726991584397e-19,4.442249843155913e-19,-1.1355838032827187e-15,-5.462887801744513e-21,3.108563753837533e-21,3.852818553073602e-20,2.176398248384337e-19,4.321254885319206e-28,-3.1878602256646623e-19,8.126024458736022e-20,7.360488796862715e-19,9.04380248299083e-18,9.039766084412085e-27,5.2739000602638686e-23,-8.880886957475199e-15,-3.2619686120526866e-16,2.321251263740494e-19,1.8762636047130382e-19,1.6862465637666802e-19,9.158897666738295e-20,1.011500419583003e-15,1.111191730021802e-19,1.9612312192024332e-16,4.243708309363299e-28,7.088326698583862e-28,5.8460260334329405e-18,-3.2583658567123455e-16,5.079422291726421e-18,1.17666171695223e-19,2.465187662248853e-19,5.0632092942826837e-26,7.067135316922775e-29,-5.978399528956264e-17,1.791979694614431e-27,1.3667551071685602e-22,5.529566063460846e-17,3.4572616524453276e-24,-3.988168639415941e-17,1.097123953603277e-20,9.780183197282118e-27,1.5419228229490067e-26,2.7209969820010007e-22,1.3366823277036297e-19,2.5328491750566335e-25,6.333005857864947e-25,3.773229411654439e-24,2.4797077400681905e-30,7.066618780820141e-24,3.070562430689057e-12,9.28315953917257e-16,3.437122453167072e-13,2.7210924277475077e-22,1.8280176579018516e-12,0.25462134764307853,8.295465037143604e-17,1.2167471707469412e-16,3.8591723246276356e-13,1.186474441920753e-25,-1.6610709769824055e-13,5.823708732301699e-12,-2.4446841625782e-12,3.139323732401104e-19,1.7626410913128079e-16,-2.677911607909437e-17,3.6662949027225576e-20,2.0982312118473013e-24,7.798808765866929e-16,-1.0391645784680862e-27,2.1028783342728158e-19,8.175535035644816e-20,2.6973698700856402e-20,9.914234185759014e-20,-1.0162871766851865e-15,9.908643908350572e-25,1.2108493940741089e-19,1.4182926911801802e-19,-2.203244869038085e-16,-4.2862412291748605e-26,5.4530496950978325e-24,3.1417116464572963e-23,-276.3138456792651
551.2665041635926,0.17088705090339412,0.55,-1.9288007452221962e-19,-1.5912034892389672e-11,0.5888491353705398,-1.5960161812432847e-24,1.6149749218398984e-21,2.418719676724173e-21,2.0164321032676253e-12,0.15652951699484338,1.0744549386977184e-11,-9.074023567616353e-12,-4.948634445395191e-15,-2.8289025039962783e-28,-3.6209466116873705e-12,1.1471050628127721e-14,-3.072169494064749e-26,-2.0900461157498895e-13,-3.025267089472218e-28,-4.776285222213688e-28,-8.761151051968898e-27,-1.9820274449873278e-28,2.5891950807351244e-18,9.646077457490234e-19,-2.405312842908653e-16,-2.082936302790817e-18,-4.621148867082409e-25,-2.495481657254386e-28,-1.9252290732238663e-19,1.6945999720621972e-16,1.9168714473552543e-17,-4.542389510675189e-18,7.230968456128122e-18,7.16212723590267e-13,-1.5850669562590975e-12,-6.376172712127986e-27,3.4933684535628887e-25,1.370328181505209e-16,5.626242310084865e-26,3.317981580350936e-16,-2.9107825403892925e-23,-2.3469667860190566e-29,-3.0285670872128146e-28,-4.560939583411147e-27,-6.071217720391554e-28,-2.673493415639379e-26,-1.3071001135511552e-27,-7.557493634907432e-20,2.8001107802050536e-19,-1.2566718116251018e-15,-3.418194690130382e-21,-1.1911685267533055e-20,-1.8367566271213998e-19,5.450447214490404e-20,-1.711157251492602e-27,-4.813937601769939e-19,-9.045024126018921e-20,5.1253441742100735e-19,8.803477234010936e-18,-3.5676793540055327e-26,6.247340777139039e-23,-1.12938313763449e-14,-3.4442763069951224e-16,4.6669164170010067e-20,3.7795891676678104e-21,-1.6009748418641816e-20,-9.304542811583796e-20,1.1321964241078827e-15,-8.792545642561623e-20,2.0913663204750393e-16,-1.684305338229825e-27,-2.8069377758717068e-27,4.2352781357362885e-18,-3.262024887920461e-16,4.638319562844045e-18,-5.561798742568392e-20,7.621735399900954e-20,-8.334854231956704e-26,-2.7984871214276074e-28,-6.000077563218388e-17,-7.104565153230328e-27,-5.410525220848893e-22,5.304672724328683e-17,3.006236787554005e-24,-3.8202881404703034e-17,-3.691940660474337e-20,-3.7432422228187976e-26,-6.104436474214061e-26,-1.075992785199835e-21,-3.379875357052234e-19,-7.186265057714195e-25,-2.4999781930722004e-24,-1.4923314270752625e-23,-9.819303168315007e-30,-1.8730215657693856e-24,3.0708106254817433e-12,1.0388338905451731e-15,3.8582384017294207e-13,3.8640452874041326e-22,1.2537918566674684e-12,0.2546213476423911,7.855269179782074e-17,1.8824446560479097e-16,4.228487167280996e-13,3.870020718618492e-26,-1.789593790319259e-13,6.3853840782392194e-12,-2.1862528239177714e-12,2.3613626438078077e-19,2.0060671841212752e-16,-2.5004062917714442e-17,2.2864631943035707e-20,-6.848560653848355e-24,8.784230573947768e-16,-4.5918808389996305e-28,-3.503606714590595e-19,-1.711481219886486e-19,-5.1175096578700305e-20,-1.3028675524552776e-19,-1.0167207736843407e-15,-3.928851862228606e-24,-7.892433071786321e-20,-1.1107411468589644e-19,-2.2114555782971042e-16,-3.779945067753887e-26,2.4751672871150855e-24,-1.243627322377622e-22,-207.25751229596378
551.2665041593365,0.17088705090205464,0.6,6.237396607908305e-19,-1.5912032088960835e-11,0.5888491353704713,-1.3004572727597268e-24,1.6600409882052034e-21,2.5292502876591016e-21,2.279269265994773e-12,0.15652951699464054,1.0862670504692528e-11,-9.071841333222621e-12,4.0053468385086885e-14,7.341863110797064e-28,-3.6209464154481983e-12,1.42765245922355e-14,7.841987466337197e-26,-2.3806242226988926e-13,7.851509268188104e-28,1.2395914063004156e-27,2.2737853755255645e-26,5.143964485186069e-28,3.641390918708143e-18,9.7303855189863e-19,-2.239465619972055e-16,6.627251238105543e-19,-4.452167050246071e-25,6.477188931112507e-28,-1.9082997186419818e-19,1.7128159266983135e-16,1.974184207813076e-17,-3.930021327043241e-18,1.0465723583799655e-17,7.224527606423035e-13,-1.5594698691334392e-12,1.6548106926839878e-26,3.61599621152107e-25,1.3762448320360707e-16,1.058719844669996e-24,3.3365427923858364e-16,-3.602809780539548e-23,6.091110223081373e-29,7.86005340276969e-28,1.1837026197014439e-26,1.5756657837661851e-27,6.938535507538228e-26,3.39232263930688e-27,4.403592367483613e-19,7.035583941627147e-19,-1.3752292846845947e-15,-1.478779415624674e-21,3.0749436416832704e-20,3.894004059155498e-19,4.752705021706692e-19,4.440974218687173e-27,-6.198830353908085e-20,3.524284357973849e-19,1.088990573068623e-18,9.375614121147006e-18,9.264509643836302e-26,7.179011723312386e-23,-1.4070578619491093e-14,-3.569241617652519e-16,5.249922716497953e-19,4.779532309436314e-19,4.601948745583878e-19,3.831591948976629e-19,1.2517648904327174e-15,4.254364763080975e-19,2.1637760636844284e-16,4.369601404545025e-27,7.284822407992074e-27,4.3052108255772086e-18,-3.251413158716459e-16,4.742730185820593e-18,3.913186607475116e-19,5.154624932807408e-19,2.81716210502088e-25,7.262926947242494e-28,-5.94415855028586e-17,1.843484565766803e-26,1.4044576798036744e-21,5.1495233733377906e-17,3.808557351967833e-24,-3.5384825015713587e-17,9.409053040666382e-20,9.687147618715818e-26,1.5845047670422132e-25,2.7922297318529253e-21,8.777144821419026e-19,1.8658479969187448e-24,6.488213392928784e-24,3.8730177119580367e-23,2.5484080210909004e-29,4.861182191119386e-24,3.0712417534715316e-12,1.1685837865742028e-15,4.313674204404948e-13,-8.817440045019242e-23,1.2687738137772652e-12,0.2546213476416493,8.399862968546538e-17,2.646711719415448e-16,4.599856570402172e-13,3.9711350298794607e-26,-1.881958059041895e-13,6.910184003883804e-12,-2.217944472117155e-12,2.5852700662606483e-19,2.231553745981284e-16,-2.1891014801170535e-17,1.1420239157312864e-19,1.8657379201138839e-23,9.811399302126907e-16,1.19172223348085e-27,1.1168040580227527e-18,4.810791312802375e-19,-3.1416745534308944e-20,4.400702284128155e-19,-1.0154207022341283e-15,1.0196580145605799e-23,4.369249170223472e-19,5.411526601895443e-19,-2.1903670977788266e-16,9.795357612919002e-26,6.90216666596833e-24,3.227386810333855e-22,-138.20117891266258
551.2665041555207,0.17088705090089942,0.625,-4.0128035430062846e-19,-1.5912035574633584e-11,0.5888491353703098,-1.9759628417766245e-24,2.0151112659382503e-21,3.51716646604757e-21,2.4525490246952356e-12,0.15652951699452794,1.0853458489057512e-11,-9.040498350338713e-12,7.126932375973743e-14,-1.8400875846818026e-27,-3.6209734604329044e-12,1.5758857237084696e-14,-1.7928350730997017e-25,-2.5253105755657125e-13,-1.9678175729265163e-27,-3.1067820529266734e-27,-5.698777132901895e-26,-1.2892293263568774e-27,2.320533955145429e-18,9.774101970944409e-19,-2.1720594407726994e-16,-2.2539452120941733e-18,-4.756502425673354e-25,-1.5046751909295049e-27,-1.8993776597080912e-19,1.7076052603691362e-16,1.9022300427431762e-17,-4.69889326043408e-18,1.0987631718157084e-17,7.2568972930313e-13,-1.5467816871548799e-12,-4.147442392894442e-26,1.9873961018719426e-25,1.3688175564975085e-16,-1.512514647755422e-24,3.3152125639826106e-16,-4.039319585904614e-23,-1.5266106972758505e-28,-1.969961372694115e-27,-2.9667081056635987e-26,-3.9490835114208106e-27,-1.7390009989372741e-25,-8.502161733250341e-27,-2.0739838555618238e-19,1.717530744782078e-19,-1.434910706221028e-15,-1.5512359113571935e-21,-7.282606965083994e-20,-3.3006581373111226e-19,-5.304382998381253e-20,-1.1130391740502827e-26,-5.885948785993399e-19,-2.036406000393018e-19,3.6528159326543273e-19,8.636182075223385e-18,-2.3216577186767826e-25,7.624106698919967e-23,-1.5550163929079703e-14,-3.6293987266607485e-16,-7.556277350384279e-20,-1.1739400160405593e-19,-1.3770136622183754e-19,-2.1473704587290576e-19,1.3101769807983088e-15,-2.1909302989256253e-19,2.177334684439936e-16,-1.0952453242050075e-26,-1.82579453225154e-26,2.538265746936251e-18,-3.264219001333352e-16,4.0053728395871305e-18,-1.698436322970697e-19,-3.604597348048969e-20,-6.490757118943527e-25,-1.8203037555891605e-27,-6.014360072740814e-17,-4.620470309610427e-26,-3.512692112190844e-21,4.9943642236201174e-17,1.4415561025237215e-24,-3.552054751286243e-17,-1.8333915602279927e-19,-2.328145997902585e-25,-3.965147365629355e-25,-6.975021355815267e-21,-1.2316309601376622e-18,-3.237420226642044e-24,-1.6221699504366694e-23,-9.697232718837165e-23,-6.387062699097491e-29,-1.2183484513393796e-23,3.0717373641697926e-12,1.2613773481211115e-15,4.604635259960108e-13,-1.1145584105516072e-21,1.6708386233832416e-12,0.2546213476411839,9.510639952390074e-17,3.034420133356268e-16,4.85802514702164e-13,9.072875223123814e-26,-1.9197366868057104e-13,7.1999816050871574e-12,-2.4503621806093562e-12,3.5460910263980524e-19,2.341739537900006e-16,-2.1715322454619987e-17,-5.3810224031638477e-20,-4.5681849909032463e-23,1.0316962650259283e-15,-2.9868196301307727e-27,-6.468683513063469e-19,-3.3770464084749615e-19,-8.107783420903024e-20,-3.535033001350486e-19,-1.01702787061522e-15,-2.555547771664757e-23,-2.1072612563977093e-19,-2.776309539201681e-19,-2.2168903308500654e-16,-2.4567105034029813e-25,-2.9102030920297025e-24,-8.083613082182394e-22,-103.67301222101189
551.2665041530162,0.17088705090014947,0.6375,3.387550181960663e-19,-1.59120330333131e-11,0.5888491353701858,-7.266380569788298e-25,2.6170152070264806e-21,4.326629995800288e-21,2.5565060617997655e-12,0.15652951699446332,1.083344380628347e-11,-9.018749372800358e-12,9.045073788953528e-14,2.6513355647148087e-27,-3.620963183312782e-12,1.6528691830141797e-14,2.315026540834504e-25,-2.597328248143919e-13,2.8353745037002782e-27,4.47648331076744e-27,8.211223082883401e-26,1.8576178722869984e-27,3.27426491521176e-18,9.796437766728153e-19,-2.1244079482030107e-16,-4.643022292424842e-19,-4.1767365844360135e-25,2.0275955469695277e-27,-1.8944107578952262e-19,1.716014887858971e-16,1.9541897983722204e-17,-4.143726128442142e-18,1.2266518756104732e-17,7.273426905685766e-13,-1.5404643564965131e-12,5.975938415069687e-26,2.9573282753237424e-25,1.3741810565933107e-16,2.9067303840312013e-24,3.331243839214001e-16,-4.136880600242995e-23,2.1996547040285152e-28,2.838467422590753e-27,4.274654360722386e-26,5.690134341922535e-27,2.505680709363673e-25,1.2250549213837124e-26,2.6038789146326163e-19,5.558342007464433e-19,-1.4638685228680203e-15,-5.0029286016624864e-23,9.008289692316972e-20,1.8947959156003351e-19,3.2851696573232944e-19,1.603749926572441e-26,-2.0826700836915656e-19,1.9795745733251005e-19,8.878894721579646e-19,9.157626441355328e-18,3.3453624651447304e-25,7.853785975139535e-23,-1.6309259931080794e-14,-3.649016191291408e-16,3.581499432923689e-19,3.12559268471999e-19,2.94091997323864e-19,2.1705631767582448e-19,1.340051463081574e-15,2.4636307694529327e-19,2.1902283865183273e-16,1.5780657260900608e-26,2.630738983672654e-26,3.363717213589759e-18,-3.2548355584850314e-16,4.360567557901791e-18,2.3543137215650254e-19,3.622596750939202e-19,9.652545466106122e-25,2.6228296443813322e-27,-5.963664519966859e-17,6.65726852485679e-26,5.033269273476243e-21,4.9873314572173384e-17,5.4026138810476505e-24,-3.426440147006128e-17,1.4553457214683845e-19,3.1306021030489223e-25,5.689834790221768e-25,9.958822228733406e-21,6.290177470556758e-19,2.962065138969892e-24,2.3325577486550283e-23,1.3959264615857508e-22,9.202956874809288e-29,1.75545825025526e-23,3.072133436223247e-12,1.320826302594428e-15,4.7760337636657e-13,-1.771369209676441e-21,2.002123237419663e-12,0.25462134764091526,1.0356407933747598e-16,3.252220899143484e-16,5.017101813784867e-13,1.3433506218440698e-25,-1.936602590655987e-13,7.357710730912673e-12,-2.6398230947664284e-12,4.3422727272781805e-19,2.412319884634564e-16,-2.0341631981833725e-17,1.9986279026314335e-19,6.68612732828272e-23,1.0590397064606328e-15,4.303625147827305e-27,6.110357588773439e-19,2.5351940940976435e-19,1.86962106371543e-21,2.339487821525561e-19,-1.0159144570142898e-15,3.6821642203537986e-23,2.5698321858847627e-19,3.135929810967054e-19,-2.1977621338500782e-16,3.538161790222639e-25,1.724934005549203e-23,1.1626666832542531e-21,-86.4089288751867
