T [K],vel [m/s],dist [m],X_H,X_H2,X_O,X_OX,X_OH,X_OHX,X_H2O,X_O2,X_O2X,X_HO2,X_H2O2,X_O3,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_N2H2,X_N2H3,X_N2H4,X_NO,X_HNO,X_H2NO,X_HNOH,X_NH2OH,X_N2O,X_HNNO,X_NO2,X_HONO,X_NO3,X_HNO3,X_N2O3,X_N2O4,X_HE,X_AR,X_N2,tau [ms]
550.8789091646061,0.12291707535622809,0.0,-7.943946988375394e-14,-6.978402522796679e-15,2.108162040822355e-18,2.102988714997163e-18,-7.194535428482159e-15,1.655951294070503e-14,6.169069934931898e-16,0.15652951699418768,3.9347438074588753e-13,-2.7098422403956613e-16,3.916148001480666e-14,1.785383260393409e-17,1.5738166544344534e-14,1.0514319744901245e-13,-6.821599459023078e-16,0.2546213476447395,1.4015712444974896e-18,-1.7913085540752573e-14,1.1754586388214168e-18,-6.76562514083726e-14,-2.6914242083088257e-13,1.4095623878619105e-18,6.349564326243022e-14,-9.346730851281886e-14,-2.6065036346921182e-14,4.671913741727102e-15,1.0864936903582143e-18,1.850636958892012e-14,1.0983773226610249e-14,8.654897021741934e-19,-5.056236625233867e-15,7.28103132236788e-19,7.11787760889998e-19,4.5144906675664825e-18,1.3385598100747178e-18,0.5888491353609785,-33.7323365135726
550.8789088668051,0.12291707528978307,0.005000000000000001,-1.46647312884117e-20,6.473886657884254e-14,7.0129743146773e-19,-2.830298028092635e-27,5.507552513809865e-20,5.854272833781485e-23,1.2555839016242873e-13,0.15652951688748365,1.0708224981327163e-10,-7.446677006514301e-14,3.8953744275447586e-14,5.807551460611927e-15,4.633529799699552e-19,1.7398420060610226e-18,-8.54073446077919e-14,0.2546213476445478,-3.1705288971716833e-27,-1.7914698362861548e-14,1.9739270628349708e-26,4.6764753421213874e-14,-1.4791882003567646e-13,-2.195029962448635e-18,4.681833247699126e-14,-7.679101632608247e-14,-2.610660858334098e-14,4.6694154914613326e-15,-7.836044035001796e-20,1.8375320827043653e-14,1.1216998767878096e-14,-1.28323173214982e-19,-5.0571820043007595e-15,-7.20061407915731e-23,-2.634303332692599e-27,-1.390479710869127e-18,-4.0662966790924813e-19,0.5888491353609571,-24.13802706564583
550.8789088358485,0.12291707528335753,0.010000000000000002,2.0435986970817695e-25,4.145386140742815e-12,1.598979052702341e-19,5.877939578786199e-29,1.7186449757342064e-21,3.6030269229705446e-29,1.2944295926727903e-13,0.15652951687631064,1.1762631425928094e-10,-7.430411084056318e-14,3.875443485723673e-14,1.902564036622241e-15,1.4052364197125758e-23,-2.883862695084264e-23,2.4934614102816764e-13,0.2546213476434471,4.279504843914262e-27,-1.791615200211427e-14,-1.6708887352599703e-25,-1.163038998195768e-13,-1.48043754106759e-13,-1.025847530281592e-18,3.314114588969329e-14,-6.308423415563595e-14,-2.6139261349410792e-14,4.669069922711348e-15,-1.6892486399316367e-20,1.824052186977687e-14,1.1453215831656615e-14,-7.493893804587206e-20,-5.0570165164912225e-15,-7.260347334947161e-23,1.4961508090203853e-28,-1.3455621382681859e-18,-3.9377642742158647e-19,0.5888491353584344,-14.54371761771906
550.8789088321931,0.12291707529246176,0.0125,-1.785880968014149e-25,9.17003008825329e-11,7.934361587575314e-20,-1.787730602552412e-27,8.691679968595207e-22,-1.089533471749339e-27,1.3040297106164445e-13,0.15652951686222108,1.185747933924212e-10,-7.421257492852956e-14,3.865614214373001e-14,9.422237893302897e-16,-1.1382220350703085e-23,-9.164719555401805e-23,4.89330817391609e-13,0.25462134762098476,1.3520986339448518e-27,-1.7917981746852934e-14,-4.076293678217038e-25,-2.3515135202521974e-13,-1.4809553202519305e-13,4.636206635954283e-19,2.697954870906341e-14,-5.690211172367721e-14,-2.615409423866785e-14,4.66884794521106e-15,-4.2554604936454513e-20,1.8171844874327303e-14,1.1571723529504468e-14,-1.0351421462400651e-19,-5.057014069724989e-15,-7.320373936158173e-23,-1.6318086351510742e-27,-1.3815087478924026e-18,-4.932754187566215e-19,0.5888491353063618,-9.74656289375568
550.878908831223,0.12291707540099014,0.01375,8.780805884298917e-24,1.0528839802151602e-09,5.354061817909564e-20,3.932655715206273e-26,6.079874507525898e-22,2.396757211439235e-26,1.3099084191992155e-13,0.15652951671799017,1.187196060997862e-10,-7.414585676150142e-14,3.8608433051826063e-14,6.306625354332899e-16,2.504014700822885e-22,6.261066001006804e-23,6.262979339805001e-13,0.2546213473747364,2.3350454675510318e-26,-1.791626183962015e-14,6.842767833761638e-26,-3.0317240346951627e-13,-1.4810834116721292e-13,1.6904718574493596e-18,2.406211567782306e-14,-5.396954895837228e-14,-2.6159546026282812e-14,4.6705371386809e-15,6.214196365920445e-19,1.8141105013743704e-14,1.163231205009149e-14,5.751247938050862e-19,-5.056044154473962e-15,-6.961828131484556e-23,3.8012286872399527e-26,3.619377214800675e-18,9.66790325996912e-19,0.5888491347354435,-7.347985531773991
550.8789088307032,0.12291707702875125,0.015,4.1414140609322203e-23,1.5442527278590218e-08,3.755382459626648e-20,1.174915610483954e-25,4.596689699426762e-22,7.160518183519112e-26,1.446271372524748e-13,0.15652951456101546,1.1876397122074275e-10,-7.402523816517147e-14,3.856267182619841e-14,4.327131114276548e-16,7.480730175701104e-22,3.6683494134687184e-22,7.800142294402079e-13,0.2546213436883886,6.605009007449343e-26,-1.790906556143538e-14,1.0666226480721712e-24,-3.797098462897422e-13,-1.480700443077903e-13,3.3444150606637746e-18,2.1302795743527893e-14,-5.118510557910426e-14,-2.616236825278832e-14,4.675588528639179e-15,2.0326298485637443e-18,1.8116430719350693e-14,1.1694802784182522e-14,2.13690514435435e-18,-5.053634232824105e-15,-6.262124079300211e-23,1.133826976715922e-25,1.0790531114336107e-17,4.418012455855664e-18,0.5888491261889874,-4.9494081697923
550.8789088347735,0.12291708637198123,0.015625,-2.054884798607048e-23,9.802513376135882e-08,2.004442745820977e-20,-7.744781395517853e-25,7.088926385928048e-23,-4.720058765566751e-25,4.0329570253112087e-13,0.15652950218246495,1.1877434219976394e-10,-7.401558401480617e-14,3.852997669983566e-14,3.004029814085161e-16,-4.9299315554507325e-21,-3.2496217569512962e-21,8.613824588602363e-13,0.25462132253112707,-4.308498036768941e-25,-1.7891918091854495e-14,-1.2365631473115118e-23,-4.202517127068192e-13,-1.4743805408245516e-13,-1.1086425500779885e-18,2.0025962612796916e-14,-4.984385874451819e-14,-2.61741621860835e-14,4.6796341415530564e-15,-5.937846344296514e-18,1.8092467616587286e-14,1.171606819253805e-14,-5.164217389513135e-18,-5.0618931122403e-15,-1.450449935468596e-22,-7.467021073527638e-25,-2.6932857128678757e-17,-8.068684401965716e-18,0.5888490771418825,-3.7501194888014537
550.8789088760396,0.12291711552416909,0.0159375,7.473332103448919e-22,3.5564275485520434e-07,3.6078603269823094e-20,1.386315626208377e-24,7.394741501218759e-22,8.44892797632501e-25,2.9647900559158337e-12,0.15652946356819875,1.1877763045289888e-10,-7.358785541173212e-14,3.853464237108066e-14,3.054674496850842e-16,8.817391626560901e-21,5.489784574653908e-21,9.046470279095013e-13,0.2546212565196453,7.723537649268556e-25,-1.745350091848267e-14,1.9888680227434522e-23,-4.410171455911811e-13,-1.4029329926907596e-13,1.9046900911753145e-17,2.020167249870896e-14,-4.9165080813686916e-14,-2.6123437825823544e-14,4.899624553792426e-15,9.086698848254385e-19,1.8391236092768518e-14,1.1758936078682008e-14,6.311230308317931e-19,-5.056178410017766e-15,5.429408015226889e-23,1.3368593425722775e-24,-1.7622566670871493e-17,-6.782530085832555e-19,0.5888489241474126,-3.1504751483060303
550.8789094056864,0.12291724656674004,0.01625,5.706954755402136e-22,1.5130369701100302e-06,-6.095655759686108e-20,-8.597593499464602e-24,-2.5720944698676853e-21,-5.239804900397148e-24,3.7636801525148485e-11,0.15652929009542274,1.1877959065115522e-10,-7.124184933478916e-14,3.8680182288561436e-14,7.183046078436862e-18,-5.469436567320618e-20,-3.4903639430051435e-20,9.61370160751565e-13,0.254620959820743,-4.781628913152475e-24,-1.1665441071586187e-14,-1.294379353562668e-22,-4.618787432487174e-13,-4.310202072946377e-14,3.0460761110919924e-16,3.0887860911639875e-14,-4.8518418040006455e-14,-2.556914227214292e-14,8.56676999864124e-15,-4.187186592666836e-17,2.276646610334494e-14,1.2100925667651565e-14,-3.7676813028698594e-17,-5.097539010568024e-15,-8.67016708995289e-22,-8.290258375071158e-24,-1.372957338351295e-16,-6.006190778046655e-17,0.5888482368900403,-2.5508308078106072
550.8789120117069,0.12291748406399573,0.01640625,8.319393005097587e-21,3.6076365747167435e-06,1.246390602628934e-19,1.4185363418735854e-23,4.6915603334756185e-21,8.645222867286532e-24,2.1797320755122315e-10,0.1565289761916757,1.1878036757773415e-10,-5.727159140833974e-14,4.0220580594829516e-14,2.6049615778200875e-16,9.015081548998395e-20,5.722808026290928e-20,1.034312914544542e-12,0.2546204222813359,7.925185637648215e-24,1.990807091441031e-14,2.111582839564449e-22,-4.683065033645588e-13,4.69909171861334e-13,3.464511350609289e-15,9.065765737081826e-14,-4.787272539318109e-14,-2.22418450353638e-14,3.343817199264224e-14,4.390617281544161e-18,5.02645162150729e-14,1.469433977127492e-14,2.5193125312966543e-19,-5.05674333963927e-15,1.235195879044942e-21,1.3678788614113167e-23,1.1268313741977267e-17,-3.5868558958755186e-18,0.5888469935525038,-2.2510086375628973
