T [K],vel [m/s],dist [m],X_AR,X_N2,X_H,X_H2,X_HE,X_O,X_OH,X_H2O,X_HO2,X_H2O2,X_O2,X_OH*,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_N2H2,X_N2H3,X_N2H4,X_H2NN,X_NO,X_N2O,X_NO2,X_HNO,X_HON,X_HONO,X_H2NO,X_HNOH,X_NH2OH,X_HNO2,X_HONO2,X_NO3,X_HNO3,X_CO,X_CO2,X_CH4,X_C2H6,tau [ms]
551.2216387611246,0.15668363379898026,0.0,2.205913803577279e-20,0.5888491353607651,1.3304518261437808e-19,2.397407420237705e-16,7.62766893266758e-20,3.5260637022496005e-20,3.461130892850683e-20,3.2305725356120647e-18,-1.3961218649028941e-16,-5.537409097590534e-18,0.1565295169946326,3.4611290307130566e-20,3.1383861511079285e-20,3.715440902341167e-20,1.6197043885930868e-17,0.2546213476446022,2.2189187191752643e-20,-1.0070187645573686e-18,5.149611388259408e-18,-7.054316976043546e-18,2.2013750724327642e-20,5.26558781138749e-19,3.1016198780012006e-20,1.365404914985044e-20,2.258980552526602e-20,2.2593748951180385e-20,1.7319497359318707e-20,-6.468389112566442e-20,2.2402928977864847e-20,2.2556588245921674e-19,1.733222241119809e-20,1.6539143403659403e-20,1.4044924490439698e-20,1.398204175934851e-20,2.251845868466283e-20,1.770133563710148e-20,2.444747963743971e-20,1.653092062371325e-20,-527.8124539638069
551.2216387561351,0.1566836337976117,0.1,4.377445379155676e-20,0.5888491353605453,-7.418438947480962e-21,3.3549915518422766e-13,9.870559741637498e-19,6.942352137249476e-21,5.919472460454883e-23,1.1578026907134482e-14,-7.042237086648491e-13,-2.8228259512375963e-14,0.15652951699530504,1.8608367802059856e-29,6.280243865475817e-21,-5.114400320545957e-23,5.075781641560925e-14,0.25462134764450206,-2.3915063781709587e-27,-4.978291928641455e-15,3.095880466264155e-14,-4.708724117929545e-14,4.645098649238575e-23,2.942865578258863e-15,5.500662929987606e-17,-3.5397454429015416e-17,-1.9998375132840188e-20,7.972044613245526e-26,-1.0293627707965426e-19,-4.454246502167478e-16,-1.4981986813148927e-19,9.510188248833526e-16,1.5027625093676934e-21,3.1344214105423584e-20,4.411322262657878e-25,-2.538488625683573e-19,4.905779537122448e-20,3.933626205809818e-20,5.015637105282634e-20,3.2100314733199595e-20,-377.03946097936966
551.2216387655984,0.15668363380036576,0.2,-1.4561997828299413e-19,0.5888491353602333,-1.6905878781310354e-26,4.631260710161831e-13,3.39499538861352e-19,3.729495571960864e-22,2.0166683403029316e-20,6.948421707158625e-13,-4.882479890052695e-13,-1.4492054454225903e-13,0.156529516995125,1.7927691678442245e-22,-4.993725765854039e-25,2.488595554802219e-22,2.7948114895300194e-13,0.25462134764357386,-1.0877308187084449e-27,-5.214883911462677e-15,1.6016591662749027e-13,1.0842426064262562e-13,-1.3583131546830041e-21,3.097041203807277e-15,5.482760430537589e-17,-3.358347067009544e-16,-9.935333917879292e-20,-3.3085606021068674e-25,-1.1875344150020232e-15,-2.109635332495194e-15,-8.986340934935457e-19,9.507971923867534e-16,-1.0175515677037294e-19,-1.541607110484602e-17,2.3651467431495044e-21,1.6348495988831333e-16,-1.442660274593736e-19,-1.126869094502e-19,-1.5970322179116775e-19,-1.0988971402896834e-19,-226.26646799493244
551.2216387560444,0.15668363379778524,0.25,2.8636051430482145e-19,0.5888491353597014,4.880932891043995e-26,8.439446234953651e-13,1.8173537678769797e-18,2.074265842474444e-21,-1.3652708305393407e-22,6.925283982903255e-13,-1.6975673842616898e-13,-3.0471074696997294e-13,0.15652951699482867,3.5132825039091755e-28,2.3319687962762787e-24,-1.8818687988960666e-21,1.6747302932889395e-12,0.2546213476429381,-4.089842232776351e-28,-8.570529251934424e-15,5.839043459031923e-13,-7.822373765401256e-13,2.883860975207184e-20,2.43203087517436e-15,5.692767797137651e-17,3.733168804469068e-15,-2.4588847581495673e-19,1.504726896735316e-24,-1.185921708068612e-15,-3.732060700561859e-15,-1.2711269081892436e-18,9.511933854141661e-16,-7.284499069074837e-20,-1.508385128160091e-17,8.460515273563522e-24,1.6390911991112924e-16,2.966790637843647e-19,2.3403852096548935e-19,3.189679380693955e-19,2.1394851042361016e-19,-150.87997150271383
551.2216387501082,0.15668363379618064,0.275,2.6942429244900292e-21,0.5888491353593738,-6.950352870910618e-26,1.1260973121196182e-12,8.449784933228395e-19,3.0763775952208495e-21,-3.196855948198798e-23,6.922526336366587e-13,-1.4849515008888935e-14,-3.8210742314437267e-13,0.15652951699466425,-4.6161016192530155e-28,-3.0648150584818372e-24,-2.3114919745268236e-21,2.4826951857128302e-12,0.2546213476424908,-3.959608622594711e-28,-1.1298860883407996e-14,9.001610914015801e-13,-1.3283499443840647e-12,6.589979263401037e-20,2.03065078166809e-15,5.945086180264416e-17,8.383344952906561e-15,-2.6275665692458555e-19,-1.977573772767341e-24,-1.1853633568860148e-15,-3.581718752362444e-15,-1.67871709083688e-18,9.50882365758462e-16,-1.293355453704714e-19,-1.5292410881916893e-17,-1.0845940683524478e-23,1.6349464062577555e-16,7.121092076615937e-21,6.39340168845352e-21,4.613493460510725e-21,1.339485943433015e-21,-113.18672325660451
551.2216387451936,0.156683633794844,0.3,-1.416977529756571e-19,0.5888491353591234,-2.649036078042316e-26,1.4630939552696975e-12,3.6493916532929606e-19,3.726466611561283e-21,1.3745170779192129e-22,6.934100796802854e-13,1.0901485699270041e-13,-4.4403618573491175e-13,0.15652951699453296,-2.3573396746717146e-28,-1.5651644112892284e-24,-1.7351073420437855e-21,2.9665068844725148e-12,0.2546213476420123,-2.4672563724509668e-28,-1.4983301636608458e-14,1.2822085522949436e-12,-1.7394411062645178e-12,1.1218275028158012e-19,1.747872358217097e-15,6.555898231243208e-17,1.6292836900368814e-14,-1.726929300519685e-19,-1.0099212240498438e-24,-1.1839016429221257e-15,-2.090342357475528e-15,7.123673962769904e-18,9.5072096607359e-16,-1.2135358289313644e-19,-1.5396852818117063e-17,-5.4797472780728475e-24,1.632634888369748e-16,-1.4023088466147526e-19,-1.0977503349451847e-19,-1.5517899950389113e-19,-1.0722944471325792e-19,-75.49347501049525
551.2216387429227,0.15668363379422443,0.3125,6.935654211560002e-19,0.5888491353590118,4.416645646395834e-25,1.6419912469121472e-12,3.1564329972241865e-18,4.029546843555597e-21,2.2334350758058727e-22,6.943538740742514e-13,1.6156470530513185e-13,-4.703461195350757e-13,0.15652951699447476,2.728980079492154e-27,1.811872652638962e-23,-1.511205285534211e-21,3.1498332549743467e-12,0.2546213476417662,4.333720164841015e-28,-1.7055422065091768e-14,1.4861633313275008e-12,-1.920789833719714e-12,1.3809357756941478e-19,1.6358486266941295e-15,7.049526833885065e-17,2.116060885685815e-14,-9.704228322771746e-20,1.169112617490269e-23,-1.1816996656183515e-15,-1.004703306856878e-15,6.10518339120933e-18,9.515574994801755e-16,6.562143269140546e-20,-1.476683391323005e-17,6.479699700782076e-23,1.643083365789451e-16,7.121943270538964e-19,5.619269968191757e-19,7.693939763946738e-19,5.204565968295596e-19,-56.646850887440536
551.2216387417855,0.1566836337939147,0.31875,-1.0792693709657503e-18,0.5888491353589559,-1.813107373704952e-24,1.7339555688491004e-12,-2.8159552527980193e-18,3.857247713607554e-21,2.536928711474235e-22,6.948876694129724e-13,1.8536843739276952e-13,-4.822907698847946e-13,0.15652951699444667,-1.1660218318117136e-26,-7.74149515058975e-23,-1.589647355652845e-21,3.2383004723757953e-12,0.2546213476416401,-2.7752412849050474e-27,-1.8152287389425498e-14,1.59128070485011e-12,-2.0110913328553163e-12,1.5188934121493668e-19,1.5705279958069075e-15,7.155236728887357e-17,2.383353575281765e-14,-1.587737863329288e-19,-4.9952180555433424e-23,-1.1832175394033855e-15,-3.81013767944035e-16,3.7472117895132266e-18,9.497625251886017e-16,-6.103530228056529e-19,-1.6097568259580828e-17,-2.7620850964622767e-22,1.620362684210062e-16,-1.0971911965739652e-18,-8.628179985313082e-19,-1.1937031439295772e-18,-8.106919941267864e-19,-47.223538825913295
551.2216387405448,0.15668363379357653,0.32499999999999996,1.481997862857633e-18,0.5888491353588934,2.672641732186071e-24,1.8290271524246706e-12,5.864299314810089e-18,4.5565622989556204e-21,3.0698599196130515e-22,6.955395363819432e-13,2.0675548352248477e-13,-4.930182231869116e-13,0.15652951699441778,1.6935088945453604e-26,1.1243448605777125e-22,-1.6107716864690278e-21,3.3466415422606826e-12,0.2546213476415074,3.595100929158816e-27,-1.930793978634151e-14,1.7001391836348352e-12,-2.112752396161832e-12,1.6796181554300427e-19,1.5222382732211975e-15,7.645911674964653e-17,2.6796548119645375e-14,4.1475899649994913e-20,7.254872135641952e-23,-1.1796607994678693e-15,3.313376917549514e-16,5.591235046931007e-18,9.523469520144316e-16,5.271552440530594e-19,-1.4173705783348862e-17,4.01406361182075e-22,1.6528977266204316e-16,1.517020494133607e-18,1.1945133478150446e-18,1.6432236756878587e-18,1.111224456336232e-18,-37.80022676438599
551.2216387389839,0.15668363379315323,0.33124999999999993,-1.3515681058609475e-19,0.5888491353588101,4.95069375366935e-23,1.928975091103819e-12,1.6244424896682572e-19,4.202387256665017e-21,3.29864610733944e-22,6.962348910563903e-13,2.3116047192115153e-13,-5.05205834630393e-13,0.15652951699438153,-1.0777666105577687e-26,-7.155254059656843e-23,-2.363625887783499e-21,3.519447950490248e-12,0.2546213476413604,-2.5795025027883616e-27,-2.0542600563480993e-14,1.8146429611884598e-12,-2.249100841408838e-12,1.882669066396657e-19,1.4297878826594524e-15,7.856424139481703e-17,3.010897796948199e-14,-1.1239902588766435e-19,-4.616962723963318e-23,-1.180561416366381e-15,1.149632879291687e-15,3.531650611818001e-18,9.507092423882706e-16,-3.7062437223854615e-19,-1.5381578733460205e-17,-2.551946309847848e-22,1.6323212350563826e-16,-1.3414526271400858e-19,-1.000940154202815e-19,-1.51269583908412e-19,-9.707329789067389e-20,-28.37691470285869
551.2216387380903,0.15668363379291123,0.334375,-3.2399979733405184e-18,0.5888491353587607,-6.3388692575959144e-24,1.980529249012846e-12,-1.0166638025581828e-17,3.7327311465325436e-21,3.313186668379186e-22,6.965813440926552e-13,2.424287054399333e-13,-5.109028732064024e-13,0.15652951699436177,-4.055712174263952e-26,-2.69266453766538e-22,-2.9705831818846097e-21,3.629805422029271e-12,0.2546213476412818,-9.245156024414684e-27,-2.1183308913650012e-14,1.8736680618889903e-12,-2.329998269865631e-12,2.0023027512047443e-19,1.3630430505220991e-15,7.793822655134866e-17,3.186659808905077e-14,-2.963345372587256e-19,-1.73744986227557e-22,-1.1837475755992077e-15,1.587032842287414e-15,4.061535156818426e-19,9.47570498704838e-16,-1.6902887427081537e-18,-1.7716448131815243e-17,-9.6094321991476e-22,1.5925945290822635e-16,-3.3026621861605454e-18,-2.597833365762071e-18,-3.587419932189075e-18,-2.431359810129434e-18,-23.6652586720949
551.2216387370377,0.15668363379262637,0.33749999999999997,-8.334020480695995e-20,0.5888491353587009,6.417708736612953e-24,2.0341847345709305e-12,6.810205445784762e-19,5.509453609614698e-21,4.0170169181695337e-22,6.970104620199998e-13,2.5265858693686676e-13,-5.160561753887942e-13,0.1565295169943396,4.0795772218178615e-26,2.7083028372463306e-22,-3.100969868958038e-21,3.774630024138556e-12,0.25462134764119637,8.87133474300813e-27,-2.1841386142924e-14,1.9349755410837254e-12,-2.4290572085978738e-12,2.1574284792062074e-19,1.316950522043791e-15,8.248820598038338e-17,3.377150456558549e-14,1.787804805469172e-19,1.7475540677294987e-22,-1.180482813198419e-15,2.065540921641213e-15,3.448425587395222e-18,9.50758138856007e-16,4.1462034023807327e-19,-1.534967470630028e-17,9.662859009519252e-22,1.6326726391440462e-16,-8.034553121933604e-20,-6.53168864360505e-20,-8.872700301071595e-20,-6.630707676787379e-20,-18.95360264133128
551.2216387357571,0.15668363379228142,0.34062499999999996,3.811189586908445e-18,0.5888491353586249,8.385895460550305e-24,2.090985111543156e-12,1.329667391282282e-17,5.969564455005648e-21,4.290203353344425e-22,6.974674812593792e-13,2.6170723590113826e-13,-5.206285484402297e-13,0.1565295169943136,5.332391646230043e-26,3.5403630739220275e-22,-3.908536419848092e-21,3.9686717907744556e-12,0.254621347641101,1.1632087008164737e-26,-2.2526749216445463e-14,1.999283590334358e-12,-2.5541090047339257e-12,2.344341535317127e-19,1.2575859604282845e-15,8.787792940079177e-17,3.584144858373253e-14,2.7625670906971957e-19,2.28442568201563e-22,-1.1755082877976287e-15,2.585159241949852e-15,7.014359979219038e-18,9.546905807778808e-16,2.024120265258077e-18,-1.2411641408307696e-17,1.2640290869483418e-21,1.6826018415938313e-16,3.893141037729041e-18,3.0745655206307284e-18,4.2162163687417194e-18,2.86982587455185e-18,-14.241946610567657
551.2216387350484,0.1566836337920911,0.3421875,-1.5232808569058258e-20,0.5888491353585787,-1.6261122757832983e-23,2.1268848765412527e-12,4.372422766495191e-19,2.9661843778937633e-21,3.4101475371101586e-22,6.976445246825979e-13,2.6586588842421147e-13,-5.227684079981739e-13,0.1565295169942986,-1.0382039419307479e-25,-6.891806740702355e-22,-5.365569815579689e-21,4.080354468217583e-12,0.254621347641049,-2.3432583844670874e-26,-2.288273112652597e-14,2.0322934538299735e-12,-2.6243678452727905e-12,2.4363843222463224e-19,1.1927253222071322e-15,8.60359263525966e-17,3.690731534045128e-14,-6.022311373348365e-19,-4.447030827399157e-22,-1.1785229553574042e-15,2.850024854626393e-15,3.066061455093414e-18,9.508237620978883e-16,-7.642611951919995e-19,-1.528566194730397e-17,-2.4571616467338004e-21,1.633804622843496e-16,-1.2188862426786124e-20,-3.4192690549106816e-22,-2.0938464532284678e-20,-3.004763967532365e-21,-11.886118595185735
551.2216387342601,0.1566836337919021,0.34375,-1.5825829786179494e-18,0.58884913535844,-6.980130451391198e-24,2.313334082363675e-12,-3.4442658423692052e-18,4.2798428968878416e-21,3.8785728185550547e-22,6.978495301427955e-13,2.697457281549941e-13,-5.247612045643408e-13,0.15652951699425874,-4.469786761687498e-26,-2.9681679484560752e-22,-5.62809976569653e-21,4.209347446294001e-12,0.2546213476409544,-1.0273462781989698e-26,-2.3244963654649573e-14,2.0662926715331297e-12,-2.703701795935095e-12,2.560823723267807e-19,1.1326803476326578e-15,8.603837458752094e-17,3.8031745519595054e-14,-4.059047258809319e-19,-1.9151888658695675e-22,-1.1800467026290755e-15,3.1292721440637626e-15,1.4763078902311288e-18,9.492411785353807e-16,-1.5460949492804182e-18,-1.6499189539090767e-17,-1.06080196916026e-21,1.6128655372045635e-16,-1.607805983702381e-18,-1.2905748878008729e-18,-1.73372254814613e-18,-1.2162524373007903e-18,-9.530290579803925
551.2216387333809,0.15668363379217598,0.3453125,1.4022632991582976e-17,0.5888491353563251,6.779178507896783e-23,5.8866940951063855e-12,4.473163310287387e-17,1.3913021445415318e-20,6.953108115102447e-22,6.98228996114042e-13,2.7348177509674295e-13,-5.265910904162221e-13,0.15652951699368572,4.317765181207358e-25,2.8663296281152075e-21,-3.508634165324998e-21,4.35861891776349e-12,0.25462134763997096,9.595971960839058e-26,-2.359908290509469e-14,2.101397873392834e-12,-2.7935633208499367e-12,2.737484019276603e-19,1.1546697394361425e-15,9.993997868555913e-17,3.9262474594925476e-14,2.252007237791418e-18,1.8495377478907623e-21,-1.1646245300510667e-15,3.4400239750161956e-15,1.6818098632002446e-17,9.650003951561687e-16,8.040282388504666e-18,-4.66146030855425e-18,1.0223764476476035e-20,1.8146689490074906e-16,1.4306410796281465e-17,1.1346988827698211e-17,1.5474608252304892e-17,1.0615577197150085e-17,-7.174462564422113
