T [K],vel [m/s],dist [m],X_H2,X_O2,X_O3,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_CO,X_CO2,X_CH4,X_CH3,X_CH2,X_CH2(S),X_CH,X_C,X_CH3OH,X_CH3O,X_CH2OH,X_CH2O,X_HCOH,X_HCO,X_HOCO,X_HOCHO,X_OCHO,X_HOCH2O,X_CH3OOH,X_CH3OO,X_CH2OOH,X_C2H6,X_C2H5,X_C2H4,X_C2H3,X_C2H2,X_H2CC,X_C2H,X_C2,X_CH3CH2OH,X_CH3CHOH,X_CH3CH2O,X_CH2CH2OH,X_CH3CHO,X_CH2CHOH,X_cC2H4O,X_CHCHOH,X_cC2H3O,X_CH2CHO,X_CH3CO,X_CH2CO,X_CHCHO,X_HCCOH,X_HCCO,X_C2O,X_CH3CH2OOH,X_CH3CH2OO,X_CH3CHOOH,X_CH2CH2OOH,X_CH2CHOOH,X_HOCH2CH2OO,X_CH2CHOO,X_OCHCHO,X_OCHCO,X_CH3C(O)OOH,X_CH3C(O)OO,X_CH3C(O)O,X_NO,X_HCN,X_NH3,X_NH2,X_NH,X_N,X_NNH,X_N2H4,X_N2H3,X_N2H2,X_H2NN,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2O,X_HNC,X_CN,X_HNCO,X_HOCN,X_HCNO,X_NCO,X_NCN,X_HNCN,X_NCNO,X_NCNOH,X_HNCNH,X_NCCN,X_CH3NO,X_CH2NO,X_C2H5NO,X_CH3CHNO,X_CH2CHNO,X_CHCHNO,X_CH3NO2,X_CH2NO2,X_C2H5NO2,X_CH2CH2NO2,X_CH3CHNO2,X_CH3ONO,X_CH3ONO2,X_CH3CH2ONO,X_CH3CH2ONO2,X_CH3NH2,X_CH2NH2,X_CH3NH,X_CH2NH,X_H2CN,X_HCNH,X_CH3CH2NH2,X_CH2CH2NH2,X_CH3CHNH2,X_CH3CH2NH,X_CH2CHNH2,X_CH3CHNH,X_CH2CHNH,X_CH2CNH2,X_CH3CNH,X_CH3CHN,X_CHCHNH2,X_CH3CN,X_CHCNH2,X_CH2CNH,X_CH2CHN,X_CH2CHN(S),X_c-C2H3N,X_CH2CN,X_CHCNH,X_H2NCHO,X_H2NCO,X_CH3NHCH3,X_CH3NHCH2,X_CH3NCH3,X_CH3NCH2,X_CH2NCH2,X_CH3NCH,X_AR,X_HE,X_N2,tau [ms]
550.8789639726715,0.18888407359939757,0.0,3.557375881155797e-17,0.1565295169946416,1.0359042128905675e-20,8.297721864912452e-20,2.198505993061617e-20,2.157772381967742e-20,1.6251177828266835e-16,1.6428588483360942e-16,1.459046956545378e-17,-5.843493461790703e-17,1.6106295458198407e-18,-1.9865273857873494e-18,1.5315324562257907e-20,1.56563406909168e-20,1.5656322836179946e-20,2.3473483442198154e-20,2.0584313192655334e-20,8.561218675816667e-18,1.1026629646433963e-20,1.1026645736072315e-20,3.1540547366975655e-19,1.1246945232318066e-20,1.1335804950195951e-20,1.0351515926075998e-20,1.2408082879769577e-19,1.0351515926076264e-20,8.310280265429158e-21,8.494265285070019e-21,1.852587603766772e-20,1.0146797565649778e-20,2.049551162621408e-18,1.0384683268412763e-20,2.4302141852476297e-17,1.1432148678172547e-20,-6.338978289010163e-18,1.153893666386297e-20,1.1653176933341635e-20,1.4708928908433178e-20,-3.7257946218904154e-19,8.47573917925904e-21,8.475739178140788e-21,8.475739179294685e-21,2.3335849240730188e-17,1.4127254844985808e-17,-5.404650694390504e-18,1.0080582661678665e-20,9.603186037596227e-21,9.603186038100953e-21,9.603186041654337e-21,-1.6117309059590195e-17,9.645973660560517e-21,6.36502860058469e-21,1.75742210806096e-20,1.1133967047639381e-20,8.849709960166072e-21,8.989856834524167e-21,8.989697343048206e-21,8.989697343108448e-21,9.014372353148536e-21,8.70874406548802e-21,9.035061207449162e-21,9.688603824214894e-18,9.040783893614845e-21,8.72318969536056e-21,7.030174676774063e-21,9.035018120664776e-21,1.9188559358201319e-19,-1.1428467958858155e-18,0.2546213476446174,7.862712340255262e-17,2.3163202918358862e-20,1.9564645915002946e-20,1.3833174926279723e-20,-1.6633764935891633e-17,1.2749448968151951e-20,-4.1298587986496256e-18,1.3723794089877913e-20,2.0676829544058022e-18,2.491667352097664e-19,1.410212578589249e-20,1.3923000119912413e-20,1.606255416613251e-20,1.0255856717445092e-20,9.128618524863333e-21,9.736296420020654e-21,8.667294281134853e-21,8.58759899421037e-21,9.175427741061938e-18,1.113658907093867e-20,1.3906561270774123e-20,-1.659251301680094e-20,1.4809916210622472e-20,6.173008858894935e-19,1.1030182790161989e-20,9.538738649194311e-20,-6.747323566745334e-20,1.038473378412827e-20,1.1645660248878872e-20,2.901138833025676e-20,8.68227441074107e-21,9.527378897358281e-21,1.0933991838181506e-20,8.049726113137372e-21,8.101242794767144e-21,-7.233086989963732e-19,6.99745972265339e-21,6.572640286126327e-18,1.0383743398093952e-20,-4.521088395309249e-18,6.1080713880130284e-21,6.108071410496586e-21,1.0436153351543788e-20,6.616947349543744e-21,6.182502950295102e-21,6.187978909218341e-21,2.410626546129817e-19,1.1193030598316618e-20,1.1193102456817457e-20,7.411887143177415e-18,1.1037789957683796e-20,1.1037790502200882e-20,-2.1082276228720488e-17,9.561211608401318e-21,9.561211605654746e-21,9.561217544891563e-21,1.2425776313692363e-17,-5.827064940229481e-20,9.735113242813017e-21,9.735185317605787e-21,9.735113110126933e-21,9.735115672554448e-21,9.735113110115505e-21,2.1921371193492105e-18,-3.0418375105793747e-19,-2.8899391068632594e-19,8.376729822817204e-21,8.376729822798425e-21,7.912454769049906e-21,1.0984063125531267e-19,8.641720397663319e-21,6.847391215739429e-20,9.652279359143089e-21,-4.569052104272577e-20,9.561414382200655e-21,9.56121161880574e-21,7.106214829193305e-20,9.737397490786398e-21,9.735113844421589e-21,1.37474571676507e-20,4.7173284682877956e-20,0.5888491353607405,-436.7251859435771
550.8789639745692,0.18888407360022721,0.1,5.938171960126411e-14,0.15652951699316772,9.71850718351105e-20,1.359269237792163e-20,1.476797582888499e-20,2.4920937645948517e-22,9.816998902260439e-13,8.630602470503964e-13,8.864323471409575e-14,-3.563762982568567e-13,1.2405520245231454e-14,-1.1242495811150498e-14,3.7640690402591125e-23,9.757706579556952e-23,7.549906902523355e-27,2.9830059500701298e-30,2.825793825399371e-24,6.630718039876864e-14,-1.2484218502524854e-22,6.822818375795679e-29,2.313812516145053e-15,1.924969548361316e-21,5.584349537419791e-28,1.3387288129656957e-28,9.626680462498555e-16,1.5027078064970063e-30,1.3191490072165856e-28,-1.4207249399821188e-17,7.064965310614627e-17,5.863743475689081e-31,1.693548491139341e-14,5.4963839299669034e-30,1.8462931945370934e-13,1.1013810238182424e-28,-4.7087179863636937e-14,2.0482528945643152e-23,8.293687653570343e-30,-1.3468751902593639e-21,-3.862228509517543e-15,3.6213049005662796e-29,-1.1427778039724269e-26,2.0068150775937567e-28,2.0871169618431438e-13,1.2631850905168318e-13,-4.8443704990341403e-14,8.705103665614338e-29,2.0590586446235516e-28,4.969759676138554e-27,3.666930119450333e-26,-1.4304222440052565e-13,1.0191357527316403e-28,-2.91009542916493e-17,6.6324458851982e-28,1.7057098357375556e-28,-1.1291354118007694e-18,1.5174436462955433e-21,2.435627685265721e-31,6.127236950152304e-28,2.253703973368516e-20,8.946847219508643e-24,5.252800984127586e-22,9.185306367031139e-14,1.1562693804616415e-30,8.523563121558082e-24,1.879317000572792e-19,1.1698867521811494e-22,1.0443235742528256e-15,-8.86656748543181e-15,0.25462134764433325,2.978905825384113e-13,-6.660526304450344e-23,5.31893563447922e-26,1.4280628712204275e-27,-1.341162822869617e-13,7.264485580305899e-18,-2.5832817305601742e-14,8.001077057428406e-26,1.265145025751904e-14,1.4388136499835177e-15,7.186313004247854e-19,3.42684149803449e-18,1.2010053534356574e-17,3.1858969247290347e-19,-5.34209213852891e-18,-2.3731271185156094e-21,4.641162261985102e-19,-1.2633815600969287e-19,7.170665826371761e-14,1.2024599179962994e-20,3.7586816579941517e-29,-2.148053120663301e-16,2.983226886799952e-17,4.724080805516747e-15,7.823942222294831e-24,1.0902232284207289e-15,-9.215720750940834e-16,-8.8695976447797e-19,9.659424087119565e-18,2.751216451854957e-16,9.795504250814502e-22,3.417582103861237e-20,1.0363807177019261e-28,-3.2040052042037375e-19,4.215998419347524e-25,-8.94564200641669e-15,3.072833556976966e-34,5.421210150356927e-14,1.0311292034294945e-20,-6.352198977426623e-14,1.6604232811597445e-31,3.1464878953864836e-25,6.564976018974751e-19,5.651713975237141e-21,1.1915049598910922e-18,8.549472154446453e-22,1.771428004060218e-15,5.210346629388825e-24,5.544817657958545e-22,5.6557216918648293e-14,8.125866717362029e-26,4.301933162505009e-24,-1.8951778545904359e-13,2.523196075559523e-26,6.652438070663497e-28,5.31471867520401e-23,1.2964014273368608e-13,-6.939465443910263e-16,1.1661352919297553e-24,6.346148269504347e-22,1.4601237155933171e-28,2.2519856923891744e-23,4.424652928082727e-29,2.7359298600380502e-14,-3.192408066596314e-15,-3.037137942335271e-15,2.308352663534619e-28,-1.2299719381758883e-31,-4.741973081159669e-18,1.2829332731764304e-15,3.2167882929346166e-28,5.239166649393013e-16,1.2811153850046073e-22,-4.96098554000003e-16,1.8145148911913155e-21,1.1851237825782999e-25,6.563923086902185e-16,2.0071104405915928e-20,6.453266229575769e-24,4.525321588543536e-21,4.286309002206933e-20,0.5888491353601825,-311.9661420138861
550.8789638987129,0.18888407357440284,0.2,5.927936602595645e-14,0.15652951698858839,1.418941483583914e-19,-7.27357336034054e-21,-5.423375671920631e-18,-6.465654444294518e-20,1.679514238162051e-11,-9.050028707644927e-13,-9.09548871103713e-12,-5.937286353597644e-13,1.2405549561490522e-14,-1.1243960753672198e-14,-1.8528884493211394e-20,2.0489558371773492e-27,1.672780828972535e-29,6.518322301499081e-23,1.188916489181094e-28,3.00559936443444e-15,-1.5598761404451055e-18,2.8514148658452603e-28,-1.8760070367637642e-13,8.384134115670776e-21,1.6252671197051784e-21,5.612853517867868e-28,9.627765954358508e-16,6.300364073276324e-30,5.530761901570703e-28,-1.2274585052824349e-13,-3.166717180318186e-15,2.4584887393024708e-30,1.682614180627614e-14,-2.6485039390382177e-24,1.845847643686928e-13,3.6403157582724947e-28,-4.708707021123093e-14,1.3677785322196833e-28,3.4772744062557616e-29,4.67899688979425e-28,-3.8784472920798864e-15,1.5075930236937624e-28,-3.1605596712822645e-23,8.412784710039562e-28,2.0868549528478384e-13,1.2631854341523465e-13,-4.8443803781395873e-14,3.649754334280974e-28,8.604761623323568e-28,6.894566917044617e-25,5.87356251567945e-22,-1.428350263280163e-13,4.260925932167236e-28,-2.905927411813763e-17,2.780815710483664e-27,7.151485412095785e-28,-1.1995949656462646e-14,-3.563656385965082e-17,1.021027959983087e-30,-2.930334766918645e-26,1.2883902662060946e-16,3.750874326674095e-23,1.9994191361779254e-21,9.185317778433762e-14,2.9315196916138458e-30,3.7702920323231576e-20,2.814071980030019e-15,3.915825077085116e-20,-2.5182924828365447e-13,-8.850673279353488e-15,0.25462134764863575,4.3617324540314297e-13,-1.1691452066298968e-19,1.4209367941366504e-25,-7.633927901020674e-27,-2.652611995445589e-12,5.3535092426403103e-14,-2.5452819042624154e-14,7.283461635167738e-22,1.2651730680087659e-14,9.501939822273409e-15,5.151725016307949e-18,2.4868344975142577e-17,1.3025881916797416e-17,-4.001880053621129e-15,-4.672542571284648e-14,-3.218112133129879e-18,4.519678611372406e-15,-1.3458284950317214e-15,7.170578397905393e-14,1.5568864932530735e-19,-6.299314474825728e-21,-1.9312406320049404e-12,2.987636867480477e-17,4.7241282489376055e-15,-4.569292344442859e-19,1.1982781660922798e-13,2.278520074386189e-12,-8.416193577619139e-19,9.704455577883104e-18,2.7515138418874446e-16,3.849678924735294e-20,1.5673343947142048e-16,4.812584829948188e-28,-3.599859509438118e-15,1.7675062368261647e-24,-8.945611820990283e-15,1.2883660454965172e-33,5.421214280848872e-14,-8.955078194672452e-19,-6.352190390852504e-14,6.955143387044028e-31,1.2857613159427754e-24,5.618440687009454e-15,4.999583390770292e-17,1.776513956498631e-14,3.698617061277921e-21,1.7715184345893675e-15,3.099908809579944e-26,2.3460179898541377e-21,5.655736155699741e-14,6.405203359333518e-19,1.4151989780423862e-23,-1.895177005095469e-13,5.0076359941785077e-26,2.7465402273965097e-27,6.043320194135557e-22,1.296403204220869e-13,-6.939104628568118e-16,3.877738570497749e-24,3.3790331863391575e-28,6.121541140299423e-28,9.535643003136336e-23,1.5231544000703736e-28,2.7302056610358763e-14,-3.192371682586193e-15,-3.03710080943091e-15,1.3385071003734021e-24,-1.471265241468867e-27,-4.866727956103238e-14,1.2829626242290531e-15,1.360438684700323e-27,5.257931278773619e-16,6.494793747553644e-22,-4.960553093807622e-16,8.010582618800181e-21,2.0489439649638758e-21,6.577695716695339e-16,8.923103603734178e-17,2.6964499690930705e-23,6.391384062105556e-20,2.4625216713057064e-19,0.5888491353584038,-187.20709808419508
550.8789638614007,0.1888840735620988,0.25,5.926650361047126e-14,0.15652951698485784,8.272744315180696e-20,-1.687719603096958e-23,1.1862318452534029e-20,3.12738238040441e-20,2.2483909071081605e-11,-4.356834908957101e-13,-1.2044094377862788e-11,-5.933815727355252e-13,1.2405007437147098e-14,-1.1239284371493379e-14,1.1530137665593494e-19,-5.421413903597604e-27,-4.431673582245046e-29,-3.309188079342414e-29,-3.242766324387321e-28,-2.2778869280044817e-14,-1.2732543004558882e-18,-7.577891811731704e-28,-3.8749913557344695e-13,-1.5916875486395584e-20,-4.6284781135456895e-27,-1.4855936863296522e-27,9.626580647592328e-16,-1.6675561805609045e-29,-1.4638609282839416e-27,-1.209096045702524e-13,2.2122426869389554e-13,-6.507089420188746e-30,1.6785000731799868e-14,-2.954509658039079e-24,1.8455767001716713e-13,-8.674185643597461e-29,-4.7087214701741405e-14,-3.619559890217606e-28,-9.203532060028052e-29,-1.2652203418664392e-27,-3.888868507242823e-15,-4.028365147048257e-28,-2.2783880860105662e-23,-2.225383334519682e-27,2.086713398087752e-13,1.2631847494279016e-13,-4.844395642862607e-14,-9.660106353731897e-28,-2.2909722673422962e-27,6.1545055174132e-25,4.629457168962741e-22,-1.4275349028941498e-13,-1.1283997741795669e-27,-2.9114432208046656e-17,-7.359991065216914e-27,-1.8928278006770144e-27,-1.1395770979518522e-14,-4.2154303872664604e-17,-2.702821354629201e-30,-4.441994591866773e-26,1.2794601600986975e-16,-9.919361924201114e-23,-2.4218906561396832e-21,9.185301388158381e-14,-2.646108790554716e-30,-1.218023337898952e-20,2.3849330172506148e-15,-1.2507391100957107e-20,-1.3409414705197695e-13,-8.850853775736048e-15,0.254621347647173,6.174166842930955e-12,-4.386465532425033e-21,-5.902420721004579e-25,-5.0539361594594867e-26,-5.356023069369275e-12,5.215067087855722e-14,-2.5220295501288613e-14,9.747724249498605e-21,1.2664707638664897e-14,3.669026369708301e-13,6.559458008373838e-16,7.20712188131099e-16,2.2060895532968048e-17,-4.372765039774156e-15,-4.668982927260803e-14,-3.381809329259677e-18,4.49764068853471e-15,-1.3454697121248962e-15,7.170130797184526e-14,8.607700118472939e-20,-3.3714271253228254e-28,-1.9313641918910127e-12,2.981343174990168e-17,4.72406545634595e-15,-5.820852103257985e-23,-7.991748924454054e-15,2.406460778309728e-12,-9.01621950449711e-19,9.644621958364706e-18,2.7511202768574285e-16,-1.115190805084527e-20,1.5017056774833428e-16,-6.878127359373425e-28,-3.537948158110794e-15,-4.6780998706956266e-24,-8.94565176251051e-15,-3.4099969668951435e-33,5.4212081881841025e-14,-9.418434808227804e-19,-6.352190881113862e-14,-1.844754555812221e-30,-3.594623672936786e-24,5.475334422970718e-15,3.455648117419272e-17,1.7182234271908266e-14,-7.490574418621858e-21,1.771397638443783e-15,-7.614866427813199e-26,-5.550253825847707e-21,5.6556962322738375e-14,2.7088017547185457e-24,-2.6922324949370886e-24,-1.8951777437634352e-13,3.6653471624525733e-25,-1.0490013422014963e-26,-5.056703113603777e-21,1.2964043145590233e-13,-6.939572340589311e-16,-6.937928088083444e-25,-1.9508164492336054e-28,-1.620300515015595e-27,-2.6062899019356997e-22,-8.909255209661646e-29,2.7273397850411008e-14,-3.192418325037407e-15,-3.0371416281971613e-15,-9.659687694037784e-26,-1.4706716268215892e-27,-4.863705591131619e-14,1.2829162717874107e-15,-3.710977674520088e-27,5.257347296072224e-16,-4.447971488330561e-21,-4.961099168812353e-16,-1.5103845714884252e-20,-1.2729096783578853e-24,6.583856883829783e-16,8.851164283009518e-17,-7.015812762345604e-23,-1.468098621596488e-20,-2.2981060673358996e-20,0.5888491353568778,-124.82757611934959
550.8789638509355,0.1888840735587545,0.275,5.926040110183584e-14,0.1565295169845309,1.0113440910335244e-19,-1.4805326910619923e-23,1.7459478352593035e-20,4.590149235699619e-20,2.203033528536037e-11,-9.125422950494963e-14,-1.1862675644140044e-11,-5.932196606717733e-13,1.2405177216617243e-14,-1.1235834343920928e-14,1.6519814148742983e-19,3.418790097559776e-27,2.7943972143625366e-29,2.0885758265400577e-29,2.0457814064673603e-28,-3.428108689719304e-14,-1.133300130147509e-18,4.774784818518674e-28,-4.764716253079583e-13,1.877126055354678e-21,2.3550863851358663e-27,9.372205824211023e-28,9.626972055899e-16,1.0520210250999973e-29,9.235140973573413e-28,-1.1593068643549629e-13,3.169756611608733e-13,4.1073119243121085e-30,1.676668960503967e-14,-3.15461646836598e-24,1.845420006051367e-13,1.5995751142378438e-27,-4.708716995568115e-14,2.2831065724017744e-28,5.80625870512732e-29,7.981964255389099e-28,-3.894375025299319e-15,2.667623286378242e-28,-1.806529177534499e-23,1.400484153403144e-27,2.0866443270199326e-13,1.2631849293449046e-13,-4.844398670469589e-14,6.094370138259827e-28,1.4426260676723448e-27,6.9974143288926155e-25,4.247476104872019e-22,-1.4271601660761463e-13,7.199123098151171e-28,-2.909725653253599e-17,4.64191534239467e-27,1.1941389061640559e-27,-1.1101949867493598e-14,-4.6410051820461573e-17,1.704974402198409e-30,-3.716550933208635e-26,1.2754276060521733e-16,6.236670681091726e-23,5.473283437970697e-21,9.185311785599158e-14,3.3542418228606124e-30,3.37169194085992e-21,2.1881404753219117e-15,3.5936707670132645e-21,-4.301814498584516e-14,-8.850742483003582e-15,0.254621347646345,9.020524264261547e-12,-4.375437974095495e-21,3.7235956829347067e-25,-1.9469989220269248e-26,-6.7024953499769475e-12,5.1320596267999087e-14,-2.5211428750741353e-14,1.397910465119181e-20,1.268166469135561e-14,6.209952614853247e-13,6.201072226425414e-16,1.130585671191541e-15,2.8731622932386715e-17,-3.3665394057948793e-15,-4.66612875613885e-14,-3.3537754204268793e-18,4.4977234582693175e-15,-1.3452504174675926e-15,7.16981842269984e-14,-3.107499383022669e-18,2.876451291020075e-26,-1.931440990372553e-12,2.9832841942447856e-17,4.7240848709121835e-15,-5.886068304714372e-23,-8.181553646366394e-15,2.4067281721785596e-12,-8.829582413470227e-19,9.663233723584556e-18,2.751243493087312e-16,4.327753582163072e-21,1.4703869174530356e-16,1.3733961535225894e-27,-3.507224024616922e-15,2.9500959372625878e-24,-8.945639305663447e-15,2.151287378823609e-33,5.421209903602109e-14,-9.170291308279328e-19,-6.352188326795614e-14,1.1628658189245379e-30,2.2248845782910984e-24,5.404751586823241e-15,2.826878254088391e-17,1.6895670913515632e-14,1.3905533096280602e-21,1.771425770904304e-15,5.706666345208156e-26,2.5315766812452282e-21,5.655687576041234e-14,1.2057690286639478e-24,6.30101222594614e-23,-1.8951773146927595e-13,6.495537890587536e-25,3.858969986509665e-27,-3.2030780982413285e-21,1.2964071230697427e-13,-6.939418961346989e-16,1.712492097259862e-23,1.3225425297703862e-27,1.0221800691213906e-27,1.4564191003082303e-22,6.039958677777424e-28,2.7259105668324214e-14,-3.1924024648792766e-15,-3.037121494199737e-15,-9.222427075423754e-26,-1.4698440172525282e-27,-4.862187199745942e-14,1.282923459403428e-15,2.148588371264333e-27,5.25749852125001e-16,-2.3308591267362784e-21,-4.96091797961685e-16,4.980814780363973e-22,8.243106451591404e-25,6.587300645054617e-16,8.819873041687108e-17,4.592089580774753e-23,9.661055591644962e-21,5.675646097882862e-20,0.5888491353561145,-93.63781513692682
550.8789638422273,0.18888407355601528,0.3,5.928084607399265e-14,0.1565295169839493,-4.184859515571784e-19,9.514490529369764e-21,2.3139620189349774e-20,6.40067069789335e-20,2.170329013613866e-11,3.891912226295401e-13,-1.1683288862050188e-11,-5.930812990228201e-13,1.240040302856495e-14,-1.1232387804331223e-14,2.009701724437469e-19,-9.537357127739729e-26,-7.794548525038012e-28,-5.824022585751252e-28,-5.70461489823959e-27,-4.4862375111159576e-14,-1.0295977774379413e-18,-1.328868322024055e-26,-5.574276781753365e-13,-2.49531956811118e-19,-7.410488778501647e-26,-2.6134160117094306e-26,9.615925733706074e-16,-2.9335339941689723e-28,-2.5751965219213872e-26,-9.280613556750982e-14,3.856219222232044e-13,-1.1445091644668811e-28,1.6749305510862498e-14,-4.555670909835053e-22,1.8288578052120102e-13,-1.3121742649098498e-26,-4.708844227289762e-14,-6.367070142864724e-27,-1.619066319606644e-27,-2.225751685658988e-26,-3.894804937952069e-15,-6.98593413929862e-27,-6.727031880708826e-24,-3.9125024860793385e-26,2.086625712678816e-13,1.2631795019243318e-13,-4.845008841180313e-14,-1.69936085922848e-26,-4.0227666431129744e-26,-2.562248787067347e-25,3.895213162778823e-22,-1.4268249876528863e-13,-1.984800462080059e-26,-2.958172531863467e-17,-1.2947754775282573e-25,-3.3298273680343327e-26,-1.0817434024138436e-14,-5.2772943245727366e-15,-4.754742677613626e-29,-4.8487218673549705e-24,1.266783713694326e-16,-1.7437556232589004e-21,-7.361644273823834e-20,9.185140185887558e-14,-7.10155621313853e-29,-4.348293290172882e-19,2.006779632390998e-15,-4.502434953316303e-19,9.242436404529304e-14,-8.852789338035277e-15,0.2546213476453901,1.1895083041020374e-11,-4.4686879009667314e-21,-1.0383368184745072e-23,8.795599982470102e-26,-8.070551597146614e-12,5.024810196187206e-14,-2.519911723622621e-14,1.8045116357290607e-20,1.269123049068004e-14,9.647913813835656e-13,6.693061289855925e-16,1.6924654118272938e-15,3.727762526925708e-17,-1.6401850764950934e-15,-4.6619175554272035e-14,-3.2694875888649373e-18,4.713016840931813e-15,-1.3454783161605519e-15,7.169527494801206e-14,-1.5288580931362848e-17,9.446653835334625e-26,-1.9315898372797956e-12,2.928132285368893e-17,4.723533380024491e-15,-8.369592044217206e-23,-1.1719534840584004e-14,2.410419466747598e-12,-1.4099073209242291e-18,9.137750955428325e-18,2.747785990969963e-16,-4.318164825481317e-19,1.429961865657746e-16,-1.9407824152253677e-26,-3.4771833043845457e-15,-8.22894497344859e-23,-8.945990312527441e-15,-5.998787048018773e-32,5.421157773189035e-14,-1.428535626158863e-18,-6.352217509124869e-14,-3.242851433578948e-29,-6.204193169064656e-23,5.334547151068351e-15,2.284521685456729e-17,1.6613574373259504e-14,-1.1841874085205157e-19,1.7704262153719905e-15,-1.4088963268286498e-24,-9.349475864065757e-20,5.6554914016921005e-14,-9.368764469471439e-24,-5.063371474972036e-22,-1.895186090904605e-13,-1.5168634141130369e-25,-1.43258920380288e-25,-4.19142351653181e-20,1.2963938822549716e-13,-6.94358627873697e-16,-1.3748685313122993e-22,-1.2436862967475451e-26,-2.8503996697088126e-26,-4.4500200361128285e-21,-5.6798295726411805e-27,2.7244451122243305e-14,-3.1928220805715673e-15,-3.0375354600933515e-15,-1.407275169407795e-25,-1.4735297576983667e-27,-4.8607550780761184e-14,1.282571649993341e-15,-6.383756881275435e-26,5.252607748588873e-16,-4.0640890708319775e-20,-4.965816342055266e-16,-2.302579236800679e-19,-2.318729304751947e-23,6.586441934307468e-16,8.738303194842403e-17,-1.247328226468416e-21,-6.802147665605931e-19,-2.294079103874622e-18,0.5888491353553377,-62.448054154504106
550.8789638378928,0.18888407355464204,0.3125,5.928090474647266e-14,0.15652951698374437,1.8698326490436656e-19,-1.0297957914167693e-23,2.588444524613935e-20,7.170075279183133e-20,2.143234223178039e-11,6.58364622883373e-13,-1.1594718348824044e-11,-5.929960433507733e-13,1.24059674117939e-14,-1.12292284529727e-14,2.1570108845804536e-19,2.2219613896684183e-25,1.815918057496322e-27,1.3568440620150013e-27,1.3290389464192567e-26,-4.995875421584636e-14,-9.827141334120485e-19,3.096512653536508e-26,-5.96091670040305e-13,2.509984870391669e-19,1.6943233317641684e-25,6.08863393043147e-26,9.628797040509566e-16,6.834433115058235e-28,5.999592106005744e-26,-7.717541992332849e-14,4.138886710994083e-13,2.666747207076819e-28,1.6741784093493735e-14,-2.2575245736890156e-22,1.8217441030889809e-13,3.5418532401332803e-26,-4.7086963163434866e-14,1.4833672557862423e-26,3.7720366997760394e-27,5.185469007363197e-26,-3.894318879470781e-15,1.6594643092364794e-26,-1.0985185321630165e-24,9.090336057374046e-26,2.086641271883651e-13,1.263185802906593e-13,-4.8451787690977244e-14,3.959181648195958e-26,9.37207904931533e-26,2.8075989371401254e-24,3.7299841840554877e-22,-1.4266510014089769e-13,4.6351680441025623e-26,-2.901722547393744e-17,3.0164860775421454e-25,7.757701142329194e-26,-1.067629048073186e-14,-4.575525745087673e-15,1.107744489013557e-28,-3.804373824785591e-24,1.269950684977167e-16,4.048052901654924e-21,1.588359974585851e-19,9.185349105691275e-14,1.6804792481252767e-28,7.57474109583775e-20,1.9213124118187543e-15,7.855621701623936e-20,1.715709069182628e-13,-8.850356681737746e-15,0.25462134764490146,1.3216948430399986e-11,-4.1002881604791755e-21,2.4190292023865214e-23,1.7258372981210443e-25,-8.698883396251293e-12,4.96602248321437e-14,-2.5190638115233178e-14,1.986781139947503e-20,1.2698117239329225e-14,1.1535474721282135e-12,7.111142156223071e-16,1.9832174966606e-15,4.327900063841952e-17,-5.197586110996576e-16,-4.659294978118763e-14,-2.9379144941894757e-18,4.858996820512884e-15,-1.3448728520623804e-15,7.169523621695581e-14,-2.2745296815878162e-17,1.5992027035579629e-25,-1.9316778450160034e-12,2.992373057719215e-17,4.7241758093385206e-15,-9.223469236051791e-23,-1.3547557184859908e-14,2.412345011072128e-12,-7.958958406057452e-19,9.750052598031834e-18,2.751815757799831e-16,7.636322213508825e-20,1.425744723615892e-16,4.803960820343906e-26,-3.4615554378654767e-15,1.9164681175894617e-22,-8.945581394668739e-15,1.397574322648905e-31,5.421218315717119e-14,-8.181766791642199e-19,-6.352181072123261e-14,7.555049306525484e-29,1.4449197005447203e-22,5.300533235583906e-15,2.0903539543301433e-17,1.6474218426665713e-14,1.3498144247955356e-19,1.7714513779811525e-15,3.311079202228608e-24,1.6104956235089323e-19,5.6556697992868775e-14,2.559679580108282e-23,1.371746000293895e-21,-1.895176591549389e-13,3.1195955548267967e-24,3.5386791262554675e-25,6.704456053756974e-20,1.296414735805311e-13,-6.938727275590085e-16,3.728730779794779e-22,3.276667531086139e-26,6.640758700144928e-26,1.0147831234918338e-20,1.4964314253979053e-26,2.723771453172149e-14,-3.1923310821029625e-15,-3.0370413189228344e-15,1.5290709460066855e-26,-1.4600325969452738e-27,-4.859901137738593e-14,1.2829699304498054e-15,1.4811745264986588e-25,5.258265103490531e-16,6.806617698128362e-20,-4.960175049918708e-16,2.1277290511071826e-19,5.398504051277355e-23,6.592877106075758e-16,8.778869569871644e-17,2.898361152813341e-21,1.2370911104240442e-19,4.476887461177226e-19,0.5888491353549818,-46.85317366329272
