T,D,X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_NO2,X_HNO,X_HNO2,X_HONO,X_HONO2,X_N2H2,X_H2NN,X_NH2OH,X_HNOH,X_NH3,X_N2H4,X_N,X_NO3,X_NH,X_NNH,X_NH2,X_H2NO,X_N2H3,t
1299.99999,3.20657701e-06,0,0.714828897,0,3.52607306e-12,7.07607742e-10,0.190114068,3.86558227e-12,8.62167387e-14,3.79026888e-12,2.93189952e-15,2.49276889e-10,9.3464195e-18,6.46879808e-19,4.5170879e-24,2.20256727e-16,2.43405022e-30,5.46541705e-30,8.27820216e-43,2.86923588e-21,2.76285087e-21,7.40724471e-22,1.30511995e-16,0.0950570332,1.97692878e-21,3.87189624e-24,2.71093162e-31,4.69592174e-19,6.65480958e-21,9.67903048e-10,1.7865259e-15,8.43132752e-22,0.00161508837
1299.99998,3.20657702e-06,0,0.714828897,0,7.71913293e-12,1.04357947e-09,0.190114068,8.45597931e-12,2.74583824e-13,8.21807136e-12,6.43985105e-15,3.69472014e-10,2.96568992e-17,9.59242948e-19,1.74432535e-23,4.75347654e-16,9.67575005e-30,3.28843706e-29,1.16232737e-41,1.11616031e-20,7.1689109e-21,2.40334929e-21,2.92770941e-16,0.0950570327,5.92743509e-21,1.23659562e-23,8.80822347e-31,1.51358904e-18,9.81449454e-21,1.43726475e-09,3.92364071e-15,2.45858865e-21,0.0023938638
1299.99998,3.20657703e-06,0,0.714828896,0,1.35136709e-11,1.37619264e-09,0.190114068,1.47928465e-11,6.24037214e-13,1.42546555e-11,1.13103633e-14,4.89665138e-10,6.71810793e-17,1.27189635e-18,4.44690444e-23,8.20945019e-16,2.50072278e-29,1.12058219e-28,6.29132618e-41,2.86074824e-20,1.38708666e-20,5.53891579e-21,5.20069375e-16,0.0950570322,1.27833917e-20,2.81760224e-23,2.01954802e-30,3.47685715e-18,1.29425971e-20,1.90840135e-09,6.8949661e-15,5.1817773e-21,0.00317263923
1299.99997,3.20657704e-06,0,0.714828896,0,2.08942861e-11,1.7054796e-09,0.190114067,2.28555585e-11,1.18171168e-12,2.18397109e-11,1.75432515e-14,6.09856259e-10,1.26826205e-16,1.58484015e-18,9.13252805e-23,1.25257178e-15,5.17379999e-29,2.89630803e-28,2.2996849e-40,5.90027796e-20,2.29376916e-20,1.06182684e-20,8.12656603e-16,0.0950570317,2.30582617e-20,5.34904201e-23,3.84114586e-30,6.65235722e-18,1.60394215e-20,2.38134856e-09,1.07036972e-14,9.15940759e-21,0.00395141465
1299.99997,3.20657705e-06,0,0.714828896,0,2.98447058e-11,2.03147445e-09,0.190114067,3.26223319e-11,1.99609178e-12,3.09108218e-11,2.51383141e-14,7.30045376e-10,2.13583729e-16,1.89807449e-18,1.64268188e-22,1.76570823e-15,9.30928095e-29,6.31718464e-28,6.78217443e-40,1.06503164e-19,3.44192801e-20,1.81450095e-20,1.1708023e-15,0.0950570312,3.71766565e-20,9.05855705e-23,6.50212859e-30,1.1353705e-17,1.91052885e-20,2.85614226e-09,1.53532956e-14,1.44995502e-20,0.00473019008
1299.99996,3.20657706e-06,0,0.714828896,0,4.03488622e-11,2.35421088e-09,0.190114067,4.40716676e-11,3.11358825e-12,4.14078121e-11,3.40953485e-14,8.50232489e-10,3.32172347e-16,2.21159948e-18,2.69671029e-22,2.3561213e-15,1.52051001e-28,1.22285169e-27,1.7064594e-39,1.75339914e-19,4.8356024e-20,2.86236094e-20,1.59478037e-15,0.0950570307,5.54534086e-20,1.41669704e-22,1.01504523e-29,1.78952977e-17,2.21405148e-20,3.33281655e-09,2.08472783e-14,2.12721352e-20,0.00550896551
1299.99996,3.20657708e-06,0,0.714828895,0,5.23910629e-11,2.67372181e-09,0.190114067,5.71825779e-11,4.5780767e-12,5.3273353e-11,4.44141549e-14,9.70417596e-10,4.86998666e-16,2.52541526e-18,4.13941693e-22,3.01989892e-15,2.31355289e-28,2.16463309e-27,3.80471501e-39,2.69750663e-19,6.47859204e-20,4.25542756e-20,2.08486622e-15,0.0950570301,7.81193283e-20,2.08860965e-22,1.49242835e-29,2.65890669e-17,2.51454103e-20,3.81140345e-09,2.71891809e-14,2.952279e-20,0.00628774093
1299.99995,3.20657709e-06,0,0.714828895,0,7.51195421e-11,3.18447243e-09,0.190114067,8.18908895e-11,7.79181554e-12,7.52561391e-11,6.40160798e-14,1.16507692e-09,8.25109959e-16,3.03431932e-18,7.46677596e-22,4.24150723e-15,4.09455371e-28,4.74319946e-27,1.16152377e-38,4.87812269e-19,9.67819982e-20,7.3718036e-20,3.01962247e-15,0.0950570293,1.24574265e-19,3.57055279e-22,2.53722009e-29,4.60327513e-17,2.99488605e-20,4.59070323e-09,3.92692198e-14,4.61040619e-20,0.00754912198
1299.99994,3.20657711e-06,0,0.714828895,0,1.01778164e-10,3.68698109e-09,0.190114066,1.10818172e-10,1.21921202e-11,1.00462994e-10,8.71891485e-14,1.35973099e-09,1.28552069e-15,3.54398708e-18,1.2263272e-21,5.63189266e-15,6.57634628e-28,9.12679546e-27,2.95788928e-38,8.02308643e-19,1.3557194e-19,1.17371474e-19,4.1297383e-15,0.0950570285,1.83586942e-19,5.61221025e-22,3.96266125e-29,7.32648396e-17,3.46748078e-20,5.37521718e-09,5.35984949e-14,6.67656214e-20,0.00881050303
1299.99993,3.20657713e-06,0,0.714828894,0,1.32303482e-10,4.18138088e-09,0.190114066,1.43879713e-10,1.79361585e-11,1.28682214e-10,1.13932523e-13,1.55437978e-09,1.88347169e-15,4.05441906e-18,1.88147326e-21,7.17810944e-15,9.85155849e-28,1.59655882e-26,6.60706606e-38,1.23161802e-18,1.81307413e-19,1.75653253e-19,5.41643859e-15,0.0950570276,2.55622457e-19,8.29413577e-22,5.81653259e-29,1.09619814e-16,3.93245043e-20,6.16505412e-09,7.0192726e-14,9.16084889e-20,0.0100718841
1299.99993,3.20657715e-06,0,0.714828894,0,1.66633122e-10,4.66780266e-09,0.190114066,1.80992299e-10,2.51700944e-11,1.59713959e-10,1.44245364e-13,1.74902329e-09,2.63297171e-15,4.56561575e-18,2.74141221e-21,8.86853199e-15,1.40040994e-27,2.59806346e-26,1.33953244e-37,1.79432525e-18,2.34139042e-19,2.50718442e-19,6.88097395e-15,0.0950570268,3.41059169e-19,1.16935408e-21,8.1427495e-29,1.56441838e-16,4.38991805e-20,6.96031275e-09,8.90679618e-14,1.20725325e-19,0.0113332651
1299.99991,3.20657718e-06,0,0.714828893,0,2.3810933e-10,5.5268506e-09,0.190114065,2.58056776e-10,4.24516245e-11,2.22310485e-10,2.08062683e-13,2.10069086e-09,4.41270618e-15,5.49118394e-18,4.91136417e-21,1.22551359e-14,2.39708924e-27,5.46033097e-26,4.01903589e-37,3.20980859e-18,3.48081858e-19,4.35899678e-19,9.98212235e-15,0.0950570252,5.30529332e-19,1.98924157e-21,1.36728039e-28,2.71938932e-16,5.19783416e-20,8.41121235e-09,1.29008155e-13,1.84469981e-19,0.0136123222
