2 H + M <=> H2 + M,-9.900183709094467
2 H + H2 <=> H2 + H2,-9.900029434806871
2 O + M <=> O2 + M,-9.9000004827005
H + O2 (+M) <=> HO2 (+M),-9.898991409096663
H + O + M <=> OH + M,-9.900031960924407
H2 + O <=> H + OH,-9.89924294875589
2 H + O2 <=> H2 + O2,-9.90069259156714
2 H + O2 <=> 2 OH,-9.899679839480587
H + O + O2 <=> OH + O2,-9.900013400981084
H + OH (+M) <=> H2O (+M),-9.900244581784062
H2 + OH <=> H + H2O,-9.898867017169705
O + OH <=> H + O2,-9.89836795233476
O + OH <=> H + O2,-9.89896372002756
2 OH (+M) <=> H2O2 (+M),-9.900013974626036
2 OH <=> H2O + O,-9.900008135170232
2 OH <=> H2O + O,-9.900013802117925
H + OH + O2 <=> H2O + O2,-9.900023756339875
H + H2O2 <=> H2O + OH,-9.899999587720227
H + H2O2 <=> H2 + HO2,-9.90000162362634
H2O2 + O <=> HO2 + OH,-9.900000671746943
H2O2 + OH <=> H2O + HO2,-9.900000843461493
H2O2 + OH <=> H2O + HO2,-9.900001233107268
H + HO2 <=> H2 + O2,-9.900440066040458
H + HO2 <=> 2 OH,-9.899302262133963
HO2 + O <=> O2 + OH,-9.900045355632566
HO2 + OH <=> H2O + O2,-9.900144656767392
HO2 + OH <=> H2O + O2,-9.90011702771096
2 HO2 <=> H2O2 + O2,-9.89999629879453
2 HO2 <=> O2 + 2 OH,-9.900000540786655
